set putPlayerInSlot [1,*,*]
:                   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 :=
ACERBI              0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
ADEKANYE            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ADJAPONG            0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
ADORANTE            1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AGOUME              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AGUDELO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AINA                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALASTRA             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
ALEXSANDRO          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALFONSO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ALLAN               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AMRABAT             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ANDERSONA           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ANDRENACCI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ANDRESILVA          1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ANSALDI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ANTONUCCI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ARESTI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ASAMOAH             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AUDERO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AUGELLO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AVOGADRI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
AYE                 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BABACAR             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BADELJ              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BADU                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BAHLOULI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BALIC               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BALOTELLI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BANI                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARAK               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARAYE              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARELLA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARILLA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARRECA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARRETO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BARROW              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BASELLI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BASTONI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BASTOS              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
BELOTTI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
