"Name","Role"
"CRISTIANO RONALDO","Pc"
"IMMOBILE","Pc"
"ICARDI","Pc"
"DZEKO","Pc"
"DYBALA","A"
"HIGUAIN","Pc"
"PERISIC","W"
"PERISIC","A"
"MERTENS","A"
"BELOTTI","Pc"
"QUAGLIARELLA","Pc"
"MILINKOVIC-SAVIC","C"
"MILINKOVIC-SAVIC","T"
"INSIGNE","A"
"CHIESA","W"
"CHIESA","A"
"LUIS ALBERTO","T"
"LUIS ALBERTO","A"
"IAGO FALQUE","A"
"CALLEJON","W"
"CALLEJON","A"
"DOUGLAS COSTA","W"
"ZAPATA D","Pc"
"SIMEONE","Pc"
"MILIK","Pc"
"NAINGGOLAN","C"
"NAINGGOLAN","T"
"GOMEZ A","A"
"ANTENUCCI","Pc"
"ILICIC","T"
"ILICIC","A"
"PASTORE","C"
"PASTORE","T"
"SUSO","T"
"SUSO","A"
"BONAVENTURA","C"
"BONAVENTURA","W"
"BONAVENTURA","T"
"DEFREL","Pc"
"ZAZA","Pc"
"UNDER","A"
"BOATENG","T"
"BOATENG","A"
"CALHANOGLU","T"
"CALHANOGLU","A"
"LASAGNA","Pc"
"CAN ","M"
"CAN ","C"
"MANDZUKIC","Pc"
"ALLAN","M"
"ALLAN","C"
"PJANIC","C"
"BERARDI","A"
"DE PAUL","W"
"DE PAUL","T"
"BERNARDESCHI","W"
"BERNARDESCHI","A"
"CUADRADO","W"
"SZCZESNY","Por"
"PAVOLETTI","Pc"
"DE VRIJ","Dc"
"KEITA B","A"
"KLUIVERT","A"
"CASTILLEJO","W"
"CASTILLEJO","A"
"VERDI","T"
"VERDI","A"
"MATUIDI","M"
"MATUIDI","C"
"ALEX SANDRO","Ds"
"ALEX SANDRO","E"
"CRISTANTE","C"
"CRISTANTE","T"
"KHEDIRA","C"
"GIACCHERINI","W"
"GIACCHERINI","T"
"PEROTTI","W"
"PEROTTI","T"
"SCHICK","Pc"
"CUTRONE","Pc"
"BARELLA","M"
"BARELLA","C"
"KOLAROV","Ds"
"KOLAROV","E"
"SKRINIAR","Dc"
"ZIELINSKI","C"
"ZIELINSKI","T"
"VERETOUT","C"
"FREULER","C"
"PJACA","A"
"DI FRANCESCO F","W"
"DI FRANCESCO F","A"
"HANDANOVIC","Por"
"FALCINELLI","Pc"
"MARTINEZ L","Pc"
"PIATEK","Pc"
"KESSIE'","M"
"KESSIE'","C"
"KOULIBALY","Dc"
"PASALIC","C"
"PASALIC","T"
"BROZOVIC","C"
"BROZOVIC","T"
"EL SHAARAWY","A"
"POLITANO","A"
"CANDREVA","W"
"BABACAR","Pc"
"CANCELO","Dd"
"CANCELO","E"
"DE SILVESTRI","Dd"
"DE SILVESTRI","E"
"FLORENZI","Dd"
"FLORENZI","E"
"MASIELLO A","Dd"
"MASIELLO A","Dc"
"BARAK","C"
"BARAK","T"
"HAMSIK","C"
"HAMSIK","T"
"BENASSI","C"
"JANKTO","C"
"CICIRETTI","W"
"CICIRETTI","T"
"PUSSETTO","W"
"PUSSETTO","A"
"RAMIREZ","T"
"MERET","Por"
"OLSEN","Por"
"CAPUTO","Pc"
"INGLESE","Pc"
"PETAGNA","Pc"
"BAKAYOKO","M"
"BAKAYOKO","C"
"PAROLO","M"
"PAROLO","C"
"LULIC","E"
"LULIC","C"
"LAZZARI M","E"
"VRSALJKO","Dd"
"VRSALJKO","E"
"CHIELLINI","Dc"
"N'KOULOU","Dc"
"RUIZ","C"
"RUIZ","T"
"MIRALLAS","A"
"CORREA","T"
"CORREA","A"
"JOAO PEDRO","T"
"STRAKOSHA","Por"
"STEPINSKI","Pc"
"NZONZI","M"
"NZONZI","C"
"LUCAS LEIVA","M"
"LUCAS LEIVA","C"
"ROMULO","E"
"ROMULO","M"
"ACERBI","Dc"
"ALBIOL","Dc"
"BONUCCI","Dc"
"MANOLAS","Dc"
"SORIANO","C"
"SORIANO","T"
"GERSON","C"
"GERSON","T"
"PELLEGRINI LO","C"
"MACHIS","A"
"RIGONI E","A"
"THEREAU","A"
"MEDEIROS","T"
"MEDEIROS","A"
"BIRSA","T"
"SIRIGU","Por"
"DONNARUMMA G","Por"
"BERISHA E","Por"
"LA GUMINA","Pc"
"DESTRO","Pc"
"LAPADULA","Pc"
"PALOSCHI","Pc"
"MANDRAGORA","M"
"MANDRAGORA","C"
"FOFANA","M"
"FOFANA","C"
"ANSALDI","Dd"
"ANSALDI","Ds"
"ANSALDI","E"
"CALDARA","Dc"
"FAZIO","Dc"
"CASTRO","C"
"CASTRO","T"
"DZEMAILI","C"
"DZEMAILI","T"
"CAMPBELL","A"
"GERVINHO","A"
"FARIAS","A"
"PANDEV","A"
"CAPRARI","T"
"CAPRARI","A"
"SAPONARA","T"
"AUDERO","Por"
"MARCHETTI","Por"
"LAFONT","Por"
"BARROW","Pc"
"SANTANDER","Pc"
"PERICA","Pc"
"KOWNACKI","Pc"
"TEODORCZYK","Pc"
"BIGLIA","M"
"BIGLIA","C"
"DIAWARA","M"
"DIAWARA","C"
"SANDRO","M"
"SANDRO","C"
"PULGAR","M"
"PULGAR","C"
"MARUSIC","E"
"LAXALT","E"
"CRISCITO","Ds"
"CRISCITO","Dc"
"HYSAJ","Dd"
"HYSAJ","Ds"
"HYSAJ","E"
"IZZO","Dd"
"IZZO","Dc"
"PEZZELLA GER","Dc"
"TOLOI","Dc"
"ROMAGNOLI A","Dc"
"FERRARI G","Dc"
"KURTIC","C"
"KURTIC","T"
"KRUNIC","C"
"KRUNIC","T"
"CIANO","A"
"EYSSERIC","W"
"EYSSERIC","T"
"ZAJC","T"
"CONSIGLI","Por"
"SKORUPSKI","Por"
"SORRENTINO","Por"
"DJORDJEVIC","Pc"
"FAVILLI","Pc"
"DIONISI","Pc"
"CERAVOLO","Pc"
"DUNCAN","M"
"DUNCAN","C"
"VIVIANI","M"
"VIVIANI","C"
"BRADARIC","M"
"BRADARIC","C"
"VECINO","M"
"VECINO","C"
"POLI","M"
"POLI","C"
"DE ROON","M"
"DE ROON","C"
"ASAMOAH","Ds"
"ASAMOAH","E"
"RADU","Ds"
"RADU","Dc"
"HATEBOER","Dd"
"HATEBOER","E"
"BENATIA","Dc"
"DANILO","Dc"
"CIONEK","Dc"
"PRAET","C"
"PRAET","T"
"BERISHA V","C"
"BERISHA V","T"
"GRASSI","C"
"BASELLI","C"
"BOGA","T"
"BOGA","A"
"CRAGNO","Por"
"MRAZ","Pc"
"VIZEU","Pc"
"RINCON","M"
"RINCON","C"
"BADELJ","M"
"BADELJ","C"
"EKDAL","M"
"EKDAL","C"
"DE ROSSI","M"
"DE ROSSI","C"
"MATTIELLO","E"
"RODRIGUEZ R","Ds"
"RODRIGUEZ R","E"
"GHOULAM","Ds"
"GHOULAM","E"
"GAGLIOLO","Ds"
"GAGLIOLO","Dc"
"SAMIR","Ds"
"SAMIR","Dc"
"SRNA","Dd"
"SRNA","E"
"LIROLA","Dd"
"LIROLA","E"
"D'AMBROSIO","Dd"
"D'AMBROSIO","Ds"
"D'AMBROSIO","E"
"CACCIATORE","Dd"
"CACCIATORE","Ds"
"CACCIATORE","E"
"MILENKOVIC","Dd"
"MILENKOVIC","Dc"
"TOMOVIC","Dd"
"TOMOVIC","Dc"
"MANCINI G","Dc"
"BASTOS","Dc"
"IONITA","C"
"IONITA","T"
"BRIGNOLA","A"
"SAU","A"
"PALACIO","A"
