"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation","Delta"
"316","P","BERISHA E","6","0","1","0","0","0","0","0","0","0","0","0","0","1","5","0.8157894736999998"
"2160","D","GOSENS","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.0657894737"
"2130","D","HATEBOER","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.7894736841999999"
"15","D","MASIELLO A","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.07894736839999972"
"2181","D","PALOMINO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.2894736842"
"695","D","TOLOI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0.8289473683999997"
"779","C","CRISTANTE","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.01315789469999995"
"788","C","FREULER","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.13157894740000042"
"177","C","ILICIC","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.3552631578999996"
"28","C","KURTIC","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.7368421053"
"22","C","DE ROON","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.48684210530000005"
"26","A","GOMEZ A","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.43421052630000023"
"383","A","PETAGNA","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0.06578947369999977"
"720","P","BELEC","6.5","0","2","0","0","0","0","0","0","0","0","0","0","1","4.5","3.0526315789"
"333","C","CATALDI","5.5","0","0","0","0","0","0","1","0","1","0","0","0","1","6.5","2.1052631578999996"
"2243","C","CICIRETTI","7","1","0","0","0","0","0","0","0","0","0","0","0","1","10","7.934210526299999"
"21","C","D'ALESSANDRO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.7894736842"
"41","P","MIRANTE","5.5","0","1","0","0","0","0","0","0","0","0","0","0","1","4.5","0.3289473683999997"
"224","D","DE MAIO","5.5","0","0","0","0","0","0","1","0","0","0","0","0","1","5.5","1.3684210525999996"
"48","D","MAIETTA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","5.3421052632"
"1857","C","DI FRANCESCO F","7","1","0","0","0","0","0","0","0","0","0","0","0","1","10","6.0263157895"
"669","C","DONSAH","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.3684210525999996"
"1858","C","KREJCI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","4.1973684211"
"374","C","POLI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.8684210525999996"
"644","C","PULGAR","5.5","0","0","0","0","0","0","1","0","0","0","0","0","1","5.5","0.3684210525999996"
"376","C","VERDI","6.5","0","0","0","0","0","0","0","0","1","0","0","0","1","7.5","0.9473684211000002"
"472","A","DESTRO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.0"
"280","A","PALACIO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.1315789474000004"
"2178","P","CRAGNO","5","0","3","0","0","0","0","0","0","0","0","0","0","1","2","-1.6578947367999999"
"251","D","ANDREOLLI","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1.5526315788999998"
"1865","D","CAPUANO","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1.2236842105"
"301","D","PADOIN","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","4.5","-1.1578947368000003"
"1869","D","PISACANE","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1.3815789474"
"1870","C","BARELLA","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.48684210530000005"
"20","C","CIGARINI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.4210526316000003"
"1872","C","DESSENA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3.4078947368"
"627","C","IONITA","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.01315789469999995"
"1874","C","JOAO PEDRO","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.7631578947"
"1879","A","FARIAS","4.5","0","0","0","1","0","0","0","0","0","0","0","0","1","1.5","-2.8552631578999996"
"1882","A","SAU","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.5"
"413","P","SORRENTINO","6","0","1","0","0","0","0","0","0","0","0","0","0","1","5","0.02631578949999991"
"99","D","CACCIATORE","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","0.7631578947"
"105","D","GOBBI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","1.8947368421"
"111","C","BIRSA","7.5","1","0","0","0","0","0","0","0","0","1","1","0","1","10.5","4.6973684211"
"112","C","CASTRO","6.5","0","0","0","0","0","0","0","0","1","0","0","0","1","7.5","3.2105263158"
"115","C","HETEMAJ","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.1842105263000002"
"118","C","RADOVANOVIC","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.0263157895"
"119","C","RIGONI N","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","3.8289473684"
"123","A","INGLESE","7","1","0","0","0","0","0","0","0","0","0","0","0","1","10","3.8157894736999998"
"127","A","PELLISSIER","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2.9736842105"
"156","A","PUCCIARELLI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.0921052632"
"1891","D","CECCHERINI","4","0","0","0","0","0","0","0","1","0","0","0","0","1","4","-1.75"
"1933","C","MANDRAGORA","5","0","0","0","0","0","0","0","0","0","0","0","0","1","5","-0.7368421053"
"789","A","TROTTA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.15789473680000032"
"4","P","SPORTIELLO","6.5","0","3","0","0","0","0","0","0","0","0","0","0","1","3.5","-1.5"
"2087","D","OLIVERA M","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","4.4736842105"
"169","D","TOMOVIC","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","4.5","0.13157894740000042"
"2165","D","VITOR HUGO","4.5","0","0","0","0","0","0","0","0","0","0","0","0","1","4.5","1.4473684211000002"
"2215","C","VERETOUT","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","-0.43421052630000023"
"2290","C","EYSSERIC","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","2.1184210526"
"557","C","BENASSI","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-0.3421052631999997"
"2061","A","SIMEONE","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","-1.7105263158000001"
"183","A","BABACAR","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.9605263158000001"
"218","P","PERIN","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.0"
"2083","D","BIRASCHI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","2.9078947368"
"54","D","ROSSETTINI","6","0","0","0","0","0","0","1","0","0","0","0","0","1","6","2.4473684211"
"2293","C","OMEONGA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3.0263157895"
"366","C","BERTOLACCI","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.3552631578999996"
"235","C","LAXALT","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.6710526316000003"
"236","C","LAZOVIC","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","3.1710526316"
"245","A","PANDEV","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.02631578949999991"
"2304","A","SALCEDO MORA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5.6842105263"
"250","P","HANDANOVIC","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.0"
"253","D","D'AMBROSIO","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.46052631580000014"
"257","D","MIRANDA","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","1.5789473683999997"
"798","D","SKRINIAR","7","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0.4078947368000003"
"172","C","BORJA VALERO","6.5","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.7236842105000001"
"265","C","BROZOVIC","5.5","0","0","0","0","0","0","0","0","0","0","0","0","1","5.5","0.0"
"332","C","CANDREVA","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0.06578947369999977"
"801","C","GAGLIARDINI","6","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1.4473684211000002"
"2078","C","JOAO MARIO","6.5","0","0","0","0","0","0","0","0","1","0","0","0","1","7.5","5.2631578947"
