"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation"
316,"P","BERISHA E",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5
2160,"D","GOSENS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2130,"D","HATEBOER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
15,"D","MASIELLO A",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2181,"D","PALOMINO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
695,"D","TOLOI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
779,"C","CRISTANTE",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
788,"C","FREULER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
177,"C","ILICIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
28,"C","KURTIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
22,"C","DE ROON",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2163,"A","CORNELIUS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
26,"A","GOMEZ A",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
383,"A","PETAGNA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
684,"ALL","GASPERINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
720,"P","BELEC",6.5,0,2,0,0,0,0,0,0,0,0,0,0,1,4.5
138,"D","COSTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2203,"D","DI CHIARA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
74,"D","LETIZIA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2241,"D","LUCIONI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2174,"D","VENUTI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
333,"C","CATALDI",5.5,0,0,0,0,0,0,1,0,1,0,0,0,1,6.5
2243,"C","CICIRETTI",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10
21,"C","D'ALESSANDRO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2244,"C","DEL PINTO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
440,"C","VIOLA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2247,"A","CISSE' K",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2190,"A","CODA M",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
281,"A","PUSCAS",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2248,"ALL","BARONI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
41,"P","MIRANTE",5.5,0,1,0,0,0,0,0,0,0,0,0,0,1,4.5
224,"D","DE MAIO",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5
48,"D","MAIETTA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
49,"D","MASINA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
461,"D","TOROSIDIS",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1857,"C","DI FRANCESCO F",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10
669,"C","DONSAH",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1858,"C","KREJCI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
374,"C","POLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
644,"C","PULGAR",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5
275,"C","TAIDER",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
376,"C","VERDI",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5
472,"A","DESTRO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
280,"A","PALACIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
760,"ALL","DONADONI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2178,"P","CRAGNO",5,0,3,0,0,0,0,0,0,0,0,0,0,1,2
251,"D","ANDREOLLI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1865,"D","CAPUANO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
301,"D","PADOIN",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
1869,"D","PISACANE",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1870,"C","BARELLA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
20,"C","CIGARINI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
1872,"C","DESSENA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2116,"C","FARAGO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
627,"C","IONITA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
1874,"C","JOAO PEDRO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
1878,"A","COP",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1879,"A","FARIAS",4.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1.5
1882,"A","SAU",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1883,"ALL","RASTELLI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
413,"P","SORRENTINO",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5
99,"D","CACCIATORE",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
101,"D","DAINELLI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
104,"D","GAMBERINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
105,"D","GOBBI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
111,"C","BIRSA",7.5,1,0,0,0,0,0,0,0,0,1,1,0,1,10.5
112,"C","CASTRO",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5
2183,"C","GARRITANO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
115,"C","HETEMAJ",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
118,"C","RADOVANOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
119,"C","RIGONI N",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
123,"A","INGLESE",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10
127,"A","PELLISSIER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
156,"A","PUCCIARELLI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
680,"ALL","MARAN",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
1889,"P","CORDAZ",6,0,3,0,0,0,0,0,0,0,0,0,0,1,3
2202,"D","CABRERA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1891,"D","CECCHERINI",4,0,0,0,0,0,0,0,1,0,0,0,0,1,4
2071,"D","DUSSENNE",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5
581,"D","FARAONI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1896,"D","MARTELLA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1901,"C","BARBERIS",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
116,"C","IZCO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
1906,"C","NALINI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2014,"C","ROHDEN",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
121,"C","STOIAN",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1933,"C","MANDRAGORA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1973,"A","BUDIMIR",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
789,"A","TROTTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1911,"ALL","NICOLA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
4,"P","SPORTIELLO",6.5,0,3,0,0,0,0,0,0,0,0,0,0,1,3.5
642,"D","ASTORI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2087,"D","OLIVERA M",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
169,"D","TOMOVIC",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
2165,"D","VITOR HUGO",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
2075,"C","CRISTOFORO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2058,"C","SANCHEZ C",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5
2215,"C","VERETOUT",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2290,"C","EYSSERIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2301,"C","GIL DIAS",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
557,"C","BENASSI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2061,"A","SIMEONE",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
183,"A","BABACAR",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2207,"A","ZEKHNINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
676,"ALL","PIOLI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
218,"P","PERIN",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2083,"D","BIRASCHI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
323,"D","GENTILETTI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
54,"D","ROSSETTINI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
2293,"C","OMEONGA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2111,"C","TAARABT",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5
366,"C","BERTOLACCI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
235,"C","LAXALT",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
236,"C","LAZOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
2011,"C","MIGUEL VELOSO",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6
2196,"A","GALABINOV",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1909,"A","PALLADINO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
245,"A","PANDEV",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
2304,"A","SALCEDO MORA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1924,"ALL","JURIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
250,"P","HANDANOVIC",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
253,"D","D'AMBROSIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
257,"D","MIRANDA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
260,"D","NAGATOMO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
798,"D","SKRINIAR",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
172,"C","BORJA VALERO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
265,"C","BROZOVIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5
332,"C","CANDREVA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
801,"C","GAGLIARDINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2078,"C","JOAO MARIO",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5
704,"C","PERISIC",7,1,0,0,0,0,0,0,0,1,0,0,0,1,11
181,"C","VECINO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
506,"A","EDER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
277,"A","ICARDI",7.5,1,0,0,0,1,0,0,0,0,0,1,0,1,13.5
782,"ALL","SPALLETTI",7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5
282,"P","BUFFON",7,0,0,1,0,0,0,0,0,0,0,0,0,1,10
662,"D","ALEX SANDRO",6,0,0,0,0,0,0,0,0,1,0,0,0,1,7
288,"D","CHIELLINI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
292,"D","LICHTSTEINER",6.5,0,0,0,0,0,0,1,0,1,0,0,0,1,7.5
294,"D","RUGANI",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
697,"C","CUADRADO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2200,"C","DOUGLAS COSTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
299,"C","KHEDIRA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
300,"C","MARCHISIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
469,"C","PJANIC",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5
2306,"C","MATUIDI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
309,"A","DYBALA",7.5,1,0,0,0,0,0,0,0,0,0,0,0,1,10.5
408,"A","HIGUAIN",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10
312,"A","MANDZUKIC",7,1,0,0,0,0,0,0,0,0,0,1,0,1,10
686,"ALL","ALLEGRI",7,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1934,"P","STRAKOSHA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
319,"D","BASTA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
322,"D","DE VRIJ",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
1999,"D","LUKAKU J",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
