"Cod.","Ruolo","Nome","Voto","Gf","Gs","Rp","Rs","Rf","Au","Amm","Esp","Ass","Asf","Gdv","Gdp","Day","FantasyEvaluation","Year"
316,"P","BERISHA E",6,0,1,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
2160,"D","GOSENS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2130,"D","HATEBOER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
15,"D","MASIELLO A",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2181,"D","PALOMINO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
695,"D","TOLOI",6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,"2017-18"
779,"C","CRISTANTE",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
788,"C","FREULER",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
177,"C","ILICIC",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
28,"C","KURTIC",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
22,"C","DE ROON",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2163,"A","CORNELIUS",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
26,"A","GOMEZ A",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
383,"A","PETAGNA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
684,"ALL","GASPERINI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
720,"P","BELEC",6.5,0,2,0,0,0,0,0,0,0,0,0,0,1,4.5,"2017-18"
138,"D","COSTA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2203,"D","DI CHIARA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
74,"D","LETIZIA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
2241,"D","LUCIONI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2174,"D","VENUTI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
333,"C","CATALDI",5.5,0,0,0,0,0,0,1,0,1,0,0,0,1,6.5,"2017-18"
2243,"C","CICIRETTI",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
21,"C","D'ALESSANDRO",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
2244,"C","DEL PINTO",5,0,0,0,0,0,0,1,0,0,0,0,0,1,5,"2017-18"
440,"C","VIOLA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2247,"A","CISSE' K",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2190,"A","CODA M",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
281,"A","PUSCAS",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
2248,"ALL","BARONI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
41,"P","MIRANTE",5.5,0,1,0,0,0,0,0,0,0,0,0,0,1,4.5,"2017-18"
224,"D","DE MAIO",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5,"2017-18"
48,"D","MAIETTA",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
49,"D","MASINA",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
461,"D","TOROSIDIS",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1857,"C","DI FRANCESCO F",7,1,0,0,0,0,0,0,0,0,0,0,0,1,10,"2017-18"
669,"C","DONSAH",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
1858,"C","KREJCI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
374,"C","POLI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
644,"C","PULGAR",5.5,0,0,0,0,0,0,1,0,0,0,0,0,1,5.5,"2017-18"
275,"C","TAIDER",6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,"2017-18"
376,"C","VERDI",6.5,0,0,0,0,0,0,0,0,1,0,0,0,1,7.5,"2017-18"
472,"A","DESTRO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
280,"A","PALACIO",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
760,"ALL","DONADONI",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2178,"P","CRAGNO",5,0,3,0,0,0,0,0,0,0,0,0,0,1,2,"2017-18"
251,"D","ANDREOLLI",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1865,"D","CAPUANO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
301,"D","PADOIN",4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,"2017-18"
1869,"D","PISACANE",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1870,"C","BARELLA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
20,"C","CIGARINI",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
1872,"C","DESSENA",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"2017-18"
2116,"C","FARAGO",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
627,"C","IONITA",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
1874,"C","JOAO PEDRO",5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,"2017-18"
1878,"A","COP",5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"2017-18"
1879,"A","FARIAS",4.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1.5,"2017-18"
