"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"CRISTIANO RONALDO","NA","33","NA","NA","A","NA","8.576232595520676","45","49","1","",""
"IMMOBILE","20.2357954545","33","9.2727272727","Lazio","A","8.5","8.0526315789","39","41","1","VE","45"
"ICARDI","18.5231729055","34","8.8529411765","Inter","A","9.5","7.9210526316","37","39","1","",""
"MERTENS","10.0094238976","38","7.7236842105","Napoli","A","6.25","7.7236842105","30","31","1","",""
"QUAGLIARELLA","9.6050420168","35","7.9285714286","Sampdoria","A","6.5","7.3026315789","28","28","1","ME",""
"DYBALA","17.4105113636","33","8.3636363636","Juventus","A","6.5","7.2631578947","33","36","1","",""
"DZEKO","8.8259920635","36","7.6527777778","Roma","A","6","7.25","34","35","1","",""
"SIMEONE","7.359886202","38","7.2105263158","Fiorentina","A","5.5","7.2105263158","26","26","1","BRYAN","35"
"CALLEJON","4.3842460882","38","7.1184210526","Napoli","A","6.5","7.1184210526","21","21","1","",""
"IAGO FALQUE","5.0743243243","37","7.3108108108","Torino","A","6","7.1184210526","25","25","1","ME",""
"INSIGNE","3.9808558559","37","7.2567567568","Napoli","A","6.5","7.0657894737","26","27","1","",""
"MILINKOVIC-SAVIC","6.5117647059","35","7.6","Lazio","C","6.5","7","28","30","1","",""
"PERISIC","7.1813063063","37","7.1621621622","Inter","C","6","6.9736842105","29","28","1","",""
"HIGUAIN","8.3962184874","35","7.5285714286","Juventus","A","6.5","6.9342105263","32","33","1","",""
"ALLAN","1.8344594595","38","6.75","Napoli","C","6.25","6.75","18","17","1","",""
"LUIS ALBERTO","7.0073529412","34","7.5147058824","Lazio","C","6.5","6.7236842105","27","27","1","",""
"PASTORE","NA","34","NA","NA","C","NA","6.663303808453652","21","21","1","",""
"HAMSIK","2.9345661451","38","6.6052631579","Napoli","C","6","6.6052631579","14","15","1","",""
"SKRINIAR","1.6466927454","38","6.5921052632","Inter","D","6.25","6.5921052632","16","16","1","",""
"BOATENG","NA","38","NA","NA","C","NA","6.557013955279123","22","20","1","",""
"POLITANO","6.25","36","6.9166666667","Sassuolo","A","6","6.5526315789","15","15","1","",""
"VERDI","4.7557932264","34","7.3235294118","Bologna","C","6","6.5526315789","17","18","1","",""
"CRISTANTE","4.3117063492","36","6.8472222222","Atalanta","C","6","6.4868421053","17","18","1","VE","15"
"ANTENUCCI","4.9337121212","33","7.4393939394","SPAL","A","6.5","6.4605263158","25","25","1","",""
"CAN ","NA","33","NA","NA","C","NA","6.445288349498848","18","19","1","",""
"KEITA B","NA","33","NA","NA","A","NA","6.445288349498848","18","19","1","GATTI","12"
"VERETOUT","5.0910714286","36","6.7916666667","Fiorentina","C","6.25","6.4342105263","16","17","1","",""
"DE VRIJ","1.9777777778","36","6.7777777778","Lazio","D","6.5","6.4210526316","18","17","1","",""
"ILICIC","8.3962365591","31","7.7903225806","Atalanta","C","6.5","6.3552631579","24","26","1","",""
"SUSO","4.2470588235","35","6.9","Milan","A","6.5","6.3552631579","20","21","1","BRYAN","20"
"KLUIVERT","NA","35","NA","NA","A","NA","6.327430495895282","18","18","1","",""
"DE PAUL","2.5664414414","37","6.4459459459","Udinese","C","6","6.2763157895","16","15","1","",""
"MARTINEZ L","NA","37","NA","NA","A","NA","6.202592481859315","16","17","1","",""
"KOULIBALY","2.5785714286","35","6.7285714286","Napoli","D","6.5","6.1973684211","15","17","1","BRYAN","17"
"ROMULO","1.7728978979","37","6.3648648649","Verona","C","6","6.1973684211","9","9","1","",""
"INGLESE","6.1737967914","34","6.9117647059","Chievo","A","5.75","6.1842105263","14","13","1","",""
"LUCAS LEIVA","0.935515873","36","6.5138888889","Lazio","C","6.5","6.1710526316","11","12","1","",""
"RAMIREZ","2.5285285285","37","6.3378378378","Sampdoria","C","6","6.1710526316","13","14","1","ME",""
"ZIELINSKI","1.935515873","36","6.4861111111","Napoli","C","6","6.1447368421","16","14","1","GATTI","32"
"FREULER","2.4966386555","35","6.6571428571","Atalanta","C","6","6.1315789474","16","16","1","",""
"KESSIE'","3.6174924925","37","6.2972972973","Milan","C","6","6.1315789474","12","11","1","",""
"KOLAROV","1.637394958","35","6.6285714286","Roma","D","6.5","6.1052631579","16","17","1","BRYAN","18"
"JANKTO","2.8593253968","36","6.4305555556","Udinese","C","6","6.0921052632","14","15","1","",""
