"Squadra","Avversario","Day","SquadraCasa"
"Atalanta","Roma","1",1
"Roma","Atalanta","1",0
"Bologna","Torino","1",1
"Torino","Bologna","1",0
"Crotone","Milan","1",1
"Milan","Crotone","1",0
"Verona","Napoli","1",1
"Napoli","Verona","1",0
"Inter","Fiorentina","1",1
"Fiorentina","Inter","1",0
"Juventus","Cagliari","1",1
"Cagliari","Juventus","1",0
"Lazio","Spal","1",1
"Spal","Lazio","1",0
"Sampdoria","Benevento","1",1
"Benevento","Sampdoria","1",0
"Sassuolo","Genoa","1",1
"Genoa","Sassuolo","1",0
"Udinese","Chievo","1",1
"Chievo","Udinese","1",0
"Benevento","Bologna","2",1
"Bologna","Benevento","2",0
"Chievo","Lazio","2",1
"Lazio","Chievo","2",0
"Crotone","Verona","2",1
"Verona","Crotone","2",0
"Fiorentina","Sampdoria","2",1
"Sampdoria","Fiorentina","2",0
"Genoa","Juventus","2",1
"Juventus","Genoa","2",0
"Milan","Cagliari","2",1
"Cagliari","Milan","2",0
"Napoli","Atalanta","2",1
"Atalanta","Napoli","2",0
"Roma","Inter","2",1
"Inter","Roma","2",0
"Spal","Udinese","2",1
"Udinese","Spal","2",0
"Torino","Sassuolo","2",1
"Sassuolo","Torino","2",0
"Atalanta","Sassuolo","3",1
"Sassuolo","Atalanta","3",0
"Benevento","Torino","3",1
"Torino","Benevento","3",0
"Bologna","Napoli","3",1
"Napoli","Bologna","3",0
"Cagliari","Crotone","3",1
"Crotone","Cagliari","3",0
"Verona","Fiorentina","3",1
"Fiorentina","Verona","3",0
"Inter","Spal","3",1
"Spal","Inter","3",0
"Juventus","Chievo","3",1
"Chievo","Juventus","3",0
"Lazio","Milan","3",1
"Milan","Lazio","3",0
"Sampdoria","Roma","3",1
"Roma","Sampdoria","3",0
"Udinese","Genoa","3",1
"Genoa","Udinese","3",0
"Chievo","Atalanta","4",1
"Atalanta","Chievo","4",0
"Crotone","Inter","4",1
"Inter","Crotone","4",0
"Fiorentina","Bologna","4",1
"Bologna","Fiorentina","4",0
"Genoa","Lazio","4",1
"Lazio","Genoa","4",0
"Milan","Udinese","4",1
"Udinese","Milan","4",0
"Napoli","Benevento","4",1
"Benevento","Napoli","4",0
"Roma","Verona","4",1
"Verona","Roma","4",0
