"","Group.1","x","presenze[, 2]"
"1","AARONS",0.122727272727273,11
"2","ABATE",0.409926470588235,17
"3","ACERBI",0.502311522048364,38
"4","ACQUAH",0.206168831168831,22
"5","ADJAPONG",0.307291666666667,16
"6","ADNAN",0.293478260869565,23
"7","AJETI",0.711904761904762,21
"8","ALBIOL",0.314516129032258,31
"9","ALEX SANDRO",0.273846153846154,26
"10","ALISSON",0.259009009009009,37
"11","ALLAN",0.301031294452347,38
"12","ALLEGRI",0.580369843527738,38
"13","ALVAREZ R",0.293560606060606,12
"14","ANDERSEN",0.154761904761905,7
"15","ANDRE' SILVA",0.347373188405797,24
"16","ANDREOLLI",0.357707509881423,23
"17","ANGELLA",0.429924242424242,12
"18","ANSALDI",0.385833333333333,25
"19","ANTEI",0.642857142857143,8
"20","ANTENUCCI",0.376893939393939,33
"21","ANTONELLI",0.166666666666667,6
"22","ANTONUCCI",0.5,2
"23","ARMENTEROS",0.319444444444444,9
"24","ASAMOAH",0.210526315789474,19
"25","ASTORI",0.351666666666667,25
"26","AVENATTI",0.240909090909091,11
"27","BABACAR",0.536945812807882,29
"28","BADELJ",0.383190883190883,27
"29","BAJIC",0,5
"30","BALIC",0.261904761904762,21
"31","BALLARDINI",0.505,26
"32","BANI",0.232291666666667,16
"33","BARAK",0.635472370766488,34
"34","BARBERIS",0.412695590327169,38
"35","BARELLA",0.383467023172906,34
"36","BARONI",0.548611111111111,9
"37","BARRECA",0.319444444444444,9
"38","BARRETO E",0.432208994708995,28
"39","BARROW",0.242424242424242,12
"40","BARZAGLI",0.176666666666667,25
"41","BASELLI",0.415322580645161,32
"42","BASTA",0.322727272727273,11
"43","BASTIEN",0.253571428571429,21
"44","BASTONI",0.0625,4
"45","BASTOS",0.511904761904762,21
"46","BEARZOTTI",0.3,6
"47","BEHRAMI",0.270394736842105,20
"48","BELEC",0.385714285714286,15
"49","BELOTTI",0.754032258064516,32
"50","BENALI",0.358333333333333,10
"51","BENASSI",0.464285714285714,35
"52","BENATIA",0.276315789473684,20
"53","BENTANCUR",0.0947368421052632,20
"54","BERARDI",0.362365591397849,31
"55","BERENGUER",0.387987012987013,22
"56","BERESZYNSKI",0.231182795698925,31
"57","BERISHA",0.166129032258065,31
"58","BERNARDESCHI",0.208333333333333,22
"59","BERTOLACCI",0.307291666666667,33
"60","BESSA",0.463955026455026,28
"61","BIANCHETTI",1.125,2
"62","BIGLIA",0.389880952380952,28
"63","BILLONG",0.2,5
"64","BIONDINI",0.154761904761905,7
"65","BIRAGHI",0.44229055258467,34
"66","BIRASCHI",0.317193675889328,23
"67","BIRSA",0.315966386554622,35
"68","BIZZARRI",0.254032258064516,32
"69","BOLDOR",NA,1
"70","BONAVENTURA",0.585700757575758,33
"71","BONAZZOLI",0.0511363636363636,12
"72","BONIFAZI",0.4,6
"73","BONUCCI",0.587394957983193,35
"74","BORINI",0.373152709359606,29
"75","BORJA VALERO",0.230753968253968,36
"76","BORRIELLO",0.352380952380952,15
"77","BOYE'",0.0409090909090909,11
"78","BRIGNOLA",0.376633986928105,18
"79","BRIGNOLI",0.506410256410256,13
"80","BRLEK",0.175,5
"81","BROZOVIC",0.411290322580645,31
"82","BRUNO PERES",0.124183006535948,18
"83","BUCCHI",0.237637362637363,14
"84","BUCHEL",0.271739130434783,23
"85","BUDIMIR",0.587121212121212,22
"86","BUFFON",0.19047619047619,21
"87","BURDISSO",0.379981884057971,24
"88","CABRERA",0.825,5
"89","CACCIATORE",0.392518939393939,33
"90","CACERES",0.555263157894737,20
"91","CAICEDO",0.465367965367965,22
"92","CALABRIA",0.636904761904762,21
"93","CALDARA",0.445199275362319,24
"94","CALHANOGLU",0.529569892473118,31
"95","CALIGARA",NA,1
"96","CALLEJON",0.566322901849218,38
"97","CALVANO",0.166666666666667,15
"98","CANCELO",0.281538461538462,26
"99","CANDREVA",0.387896825396825,36
"100","CANNAVARO",0.35672514619883,19
"101","CAPEZZI",0.1,6
"102","CAPRADOSSI",0,2
"103","CAPRARI",0.38680926916221,34
"104","CAPUANO",0.44,25
"105","CARACCIOLO A",0.580018939393939,33
"106","CASSATA",0.613888888888889,10
"107","CASTAGNE",0.270394736842105,20
"108","CASTAN",0.571428571428571,14
"109","CASTRO",0.435833333333333,25
"110","CATALDI",0.322660098522167,29
"111","CECCHERINI",0.617492492492492,37
"112","CENTURION",0.0833333333333333,3
"113","CEPPITELLI",0.506410256410256,27
"114","CERAVOLO",NA,1
"115","CERCI",0.412590579710145,24
