"","Nome","Squadra"
"1","RADUNOVIC","Atalanta"
"2","SPORTIELLO","Fiorentina"
"3","BRIVIO","Genoa"
"4","CHERUBIN","Verona"
"5","CONTI","Milan"
"6","DRAME'","SPAL"
"7","MASIELLO A","Atalanta"
"8","CIGARINI","Cagliari"
"9","D'ALESSANDRO","Benevento"
"10","DE ROON","Atalanta"
"11","GOMEZ A","Atalanta"
"12","GRASSI","SPAL"
"13","KURTIC","SPAL"
"14","DA COSTA","Bologna"
"15","MIRANTE","Bologna"
"16","FERRARI A","Verona"
"17","GASTALDELLO","Bologna"
"18","MAIETTA","Bologna"
"19","MASINA","Bologna"
"20","MBAYE","Bologna"
"21","OIKONOMOU","SPAL"
"22","ROSSETTINI","Genoa"
"23","CRISETIG","Bologna"
"24","DIAWARA","Napoli"
"25","RIZZO","Atalanta"
"26","ZUCULINI F","Verona"
"27","LETIZIA","Benevento"
"28","ROMAGNOLI S","Bologna"
"29","SPOLLI","Genoa"
"30","LASAGNA","Udinese"
"31","MATOS","Verona"
"32","BIZZARRI","Udinese"
"33","SECULIN","Chievo"
"34","CACCIATORE","Chievo"
"35","CESAR","Chievo"
"36","DAINELLI","Chievo"
"37","FREY","Chievo"
"38","GAMBERINI","Chievo"
"39","GOBBI","Chievo"
"40","MATTIELLO","SPAL"
"41","BIRSA","Chievo"
"42","CASTRO","Chievo"
"43","HETEMAJ","Chievo"
"44","IZCO","Crotone"
"45","RADOVANOVIC","Chievo"
"46","RIGONI N","Chievo"
"47","STOIAN","Crotone"
"48","INGLESE","Chievo"
"49","MEGGIORINI","Chievo"
"50","PALOSCHI","SPAL"
"51","PELLISSIER","Chievo"
"52","SKORUPSKI","Roma"
"53","CAMPORESE","Benevento"
"54","COSTA","Benevento"
"55","HYSAJ","Napoli"
"56","LAURINI","Fiorentina"
"57","MARIO RUI","Napoli"
"58","TONELLI","Napoli"
"59","SAPONARA","Fiorentina"
"60","ZIELINSKI","Napoli"
"61","PUCCIARELLI","Chievo"
"62","SEPE","Napoli"
"63","TOMOVIC","Chievo"
"64","BADELJ","Fiorentina"
"65","BORJA VALERO","Inter"
"66","CAPEZZI","Sampdoria"
"67","FERNANDEZ M","Fiorentina"
"68","ILICIC","Atalanta"
"69","VECINO","Inter"
"70","ACOSTY","Crotone"
"71","BABACAR","Sassuolo"
"72","BERNARDESCHI","Juventus"
"73","REBIC","Fiorentina"
"74","ROSSI","Genoa"
"75","PAVLOVIC","Crotone"
"76","ROSI","Genoa"
"77","CHIBSAH","Benevento"
"78","VERDE","Verona"
"79","DONNARUMMA A","Milan"
"80","LAMANNA","Genoa"
"81","PERIN","Genoa"
"82","BURDISSO","Torino"
"83","DE MAIO","Bologna"
"84","IZZO","Genoa"
"85","MUNOZ","Genoa"
"86","COFIE","Genoa"
"87","LAXALT","Genoa"
"88","LAZOVIC","Genoa"
"89","PEROTTI","Roma"
"90","RINCON","Torino"
"91","GAKPE'","Genoa"
"92","PANDEV","Genoa"
"93","PAVOLETTI","Cagliari"
"94","BERNI","Inter"
"95","HANDANOVIC","Inter"
"96","ANDREOLLI","Cagliari"
"97","BIRAGHI","Fiorentina"
"98","D'AMBROSIO","Inter"
"99","DODO'","Sampdoria"
"100","JUAN JESUS","Roma"
"101","MIRANDA","Inter"
"102","MURILLO","Inter"
"103","NAGATOMO","Inter"
"104","RANOCCHIA","Inter"
"105","SANTON","Inter"
"106","BESSA","Genoa"
"107","BROZOVIC","Inter"
"108","GNOUKOURI","Inter"
"109","KONDOGBIA","Inter"
"110","MEDEL","Inter"
"111","TAIDER","Bologna"
"112","BIABIANY","Inter"
"113","ICARDI","Inter"
"114","JOVETIC","Inter"
"115","PALACIO","Bologna"
"116","PUSCAS","Benevento"
"117","BUFFON","Juventus"
"118","BARZAGLI","Juventus"
"119","BONUCCI","Milan"
"120","CACERES","Lazio"
"121","CHIELLINI","Juventus"
"122","LICHTSTEINER","Juventus"
"123","RUGANI","Juventus"
"124","ASAMOAH","Juventus"
"125","BUCHEL","Verona"
"126","KHEDIRA","Juventus"
"127","MARCHISIO","Juventus"
"128","PADOIN","Cagliari"
"129","STURARO","Juventus"
"130","COMAN","Juventus"
"131","DYBALA","Juventus"
"132","MANDZUKIC","Juventus"
"133","BERISHA E","Atalanta"
"134","GUERRIERI","Lazio"
"135","MARCHETTI","Lazio"
"136","BASTA","Lazio"
"137","DE VRIJ","Lazio"
"138","GENTILETTI","Genoa"
"139","HOEDT","Lazio"
"140","MAURICIO","Lazio"
"141","PATRIC","Lazio"
"142","RADU","Lazio"
"143","BIGLIA","Milan"
"144","CANDREVA","Inter"
"145","CATALDI","Benevento"
"146","CRECCO","Lazio"
"147","FELIPE ANDERSON","Lazio"
"148","KISHNA","Lazio"
"149","LULIC","Lazio"
"150","PAROLO","Lazio"
"151","DJORDJEVIC","Lazio"
"152","KEITA B","Lazio"
"153","DONNARUMMA G","Milan"
"154","DIEGO LOPEZ","Milan"
"155","ABATE","Milan"
"156","ALBERTAZZI","Verona"
"157","ANTONELLI","Milan"
"158","CALABRIA","Milan"
"159","DE SCIGLIO","Juventus"
"160","PALETTA","Milan"
"161","SIMIC S","Crotone"
"162","ZAPATA C","Milan"
"163","BERTOLACCI","Genoa"
"164","BONAVENTURA","Milan"
"165","MAURI J","Milan"
"166","MONTOLIVO","Milan"
"167","POLI","Bologna"
"168","SUSO","Milan"
"169","VERDI","Bologna"
"170","BACCA","Milan"
"171","CERCI","Verona"
"172","MATRI","Sassuolo"
"173","NIANG","Torino"
"174","PETAGNA","Atalanta"
"175","GABRIEL","Milan"
"176","RAFAEL CABRAL","Napoli"
"177","REINA","Napoli"
"178","ALBIOL","Napoli"
"179","GHOULAM","Napoli"
"180","KOULIBALY","Napoli"
"181","MAGGIO","Napoli"
"182","STRINIC","Sampdoria"
"183","ALLAN","Napoli"
"184","HAMSIK","Napoli"
"185","JORGINHO","Napoli"
"186","VALDIFIORI","Torino"
"187","CALLEJON","Napoli"
"188","HIGUAIN","Juventus"
"189","INSIGNE","Napoli"
"190","MERTENS","Napoli"
"191","SORRENTINO","Chievo"
"192","EMERSON","Roma"
"193","GOLDANIGA","Sassuolo"
"194","GONZALEZ G","Bologna"
"195","LAZAAR","Benevento"
"196","VELAZQUEZ JA","Palermo"
"197","BENALI","Crotone"
"198","HILJEMARK","Genoa"
"199","RIGONI L","Genoa"
"200","VIOLA","Benevento"
"201","BELOTTI","Torino"
"202","LOBONT","Roma"
"203","SZCZESNY","Juventus"
"204","CAPRADOSSI","Roma"
"205","CASTAN","Cagliari"
"206","MANOLAS","Roma"
"207","ROMAGNOLI A","Milan"
"208","TOROSIDIS","Bologna"
"209","DE ROSSI","Roma"
"210","FLORENZI","Roma"
"211","NAINGGOLAN","Roma"
"212","PJANIC","Juventus"
"213","STROOTMAN","Roma"
"214","DESTRO","Bologna"
"215","IAGO FALQUE","Torino"
"216","ITURBE","Roma"
"217","LJAJIC","Torino"
"218","BRIGNOLI","Benevento"
"219","PUGGIONI","Benevento"
"220","VIVIANO","Sampdoria"
"221","DE SILVESTRI","Torino"
"222","REGINI","Sampdoria"
"223","SALAMON","SPAL"
"224","SILVESTRE","Sampdoria"
"225","ZUKANOVIC","Genoa"
"226","BARRETO","Sampdoria"
"227","BONAZZOLI","SPAL"
"228","EDER","Inter"
"229","CONSIGLI","Sassuolo"
"230","PEGOLO","Sassuolo"
"231","POMINI","Sassuolo"
"232","ACERBI","Sassuolo"
"233","ANTEI","Benevento"
"234","CANNAVARO","Sassuolo"
"235","DELL'ORCO","Sassuolo"
"236","GAZZOLA","Sassuolo"
"237","PELUSO","Sassuolo"
"238","BIONDINI","Sassuolo"
"239","DUNCAN","Sassuolo"
"240","MAGNANELLI","Sassuolo"
"241","MISSIROLI","Sassuolo"
"242","PELLEGRINI LO","Roma"
"243","BERARDI","Sassuolo"
"244","FALCINELLI","Fiorentina"
"245","FLOCCARI","SPAL"
"246","POLITANO","Sassuolo"
"247","GOMIS A","SPAL"
"248","ICHAZO","Torino"
"249","PADELLI","Inter"
"250","AVELAR","Torino"
"251","BRUNO PERES","Roma"
"252","MAKSIMOVIC","Napoli"
"253","MOLINARO","Torino"
"254","MORETTI","Torino"
"255","ZAPPACOSTA","Torino"
"256","ACQUAH","Torino"
"257","BASELLI","Torino"
"258","BENASSI","Fiorentina"
"259","OBI","Torino"
"260","MAXI LOPEZ","Udinese"
"261","QUAGLIARELLA","Sampdoria"
"262","KARNEZIS","Udinese"
"263","MERET","SPAL"
"264","SCUFFET","Udinese"
"265","ADNAN","Udinese"
"266","DANILO","Udinese"
"267","FARAONI","Crotone"
"268","GABRIEL SILVA","Udinese"
"269","HEURTAUX","Verona"
"270","WAGUE","Udinese"
"271","WIDMER","Udinese"
"272","BADU","Udinese"
"273","GUILHERME T","Udinese"
"274","KONE","Udinese"
"275","PONTISSO","Udinese"
"276","VERRE","Sampdoria"
"277","PERICA","Udinese"
"278","THEREAU","Fiorentina"
"279","ZAPATA D","Sampdoria"
"280","COPPOLA","Verona"
"281","GOLLINI","Atalanta"
"282","RAFAEL","Cagliari"
"283","BIANCHETTI","Verona"
"284","HELANDER","Bologna"
"285","ROMULO","Verona"
"286","SOUPRAYEN","Verona"
"287","HALLFREDSSON","Udinese"
"288","IONITA","Cagliari"
"289","LANER","Verona"
"290","SALA","Sampdoria"
"291","VIVIANI","SPAL"
"292","ZACCAGNI","Verona"
"293","FARES","Verona"
"294","PAZZINI","Verona"
"295","CHIRICHES","Napoli"
"296","ASTORI","Fiorentina"
"297","DEFREL","Roma"
"298","PULGAR","Bologna"
"299","MILINKOVIC-SAVIC","Lazio"
"300","DZEKO","Roma"
"301","KALINIC","Milan"
"302","FALCO","Bologna"
"303","ALEX SANDRO","Juventus"
"304","KRAFTH","Bologna"
"305","DONSAH","Bologna"
"306","TOLOI","Atalanta"
"307","CUADRADO","Juventus"
"308","TONEV","Crotone"
"309","GIACCHERINI","Chievo"
"310","MOUNIER","Bologna"
"311","PERISIC","Inter"
"312","ANSALDI","Torino"
"313","FELIPE","SPAL"
"314","LEMINA","Juventus"
"315","DZEMAILI","Bologna"
"316","RODRIGUEZ A","Chievo"
"317","BELEC","Sampdoria"
"318","BORRIELLO","SPAL"
"319","VITALE","SPAL"
"320","PEREIRA P","Genoa"
"321","SADIQ","Torino"
"322","AJETI","Crotone"
"323","TUPTA","Verona"
"324","PEZZELLA GIU","Udinese"
"325","KRAGL","Crotone"
"326","ALVAREZ R","Sampdoria"
"327","TUMMINELLO","Crotone"
"328","CRISTANTE","Atalanta"
"329","CIONEK","SPAL"
"330","IMMOBILE","Lazio"
"331","DJIMSITI","Benevento"
"332","FREULER","Atalanta"
"333","TROTTA","Crotone"
"334","SAMIR","Udinese"
"335","EL SHAARAWY","Roma"
"336","SKRINIAR","Inter"
"337","GAGLIARDINI","Inter"
"338","FIAMOZZI","Genoa"
"339","NINKOVIC","Genoa"
"340","BALIC","Udinese"
"341","COSTA F","SPAL"
"342","MARSON","Sassuolo"
"343","ADJAPONG","Sassuolo"
"344","LOCATELLI M","Milan"
"345","EDERA","Torino"
"346","PIERINI N","Sassuolo"
"347","DELLA GIOVANNA","SPAL"
"348","CALDARA","Atalanta"
"349","KESSIE'","Milan"
"350","SPINAZZOLA","Atalanta"
"351","BOLDOR","Verona"
"352","DI FRANCESCO F","Bologna"
"353","KREJCI","Bologna"
"354","NAGY","Bologna"
"355","STORARI","Milan"
"356","CAPUANO","Crotone"
"357","CEPPITELLI","Cagliari"
"358","MURRU","Sampdoria"
"359","PISACANE","Cagliari"
"360","BARELLA","Cagliari"
"361","DEIOLA","Cagliari"
"362","DESSENA","Cagliari"
"363","DI GENNARO D","Lazio"
"364","JOAO PEDRO","Cagliari"
"365","COP","Cagliari"
