"","Name","MantraRole","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"1","ABATE","E",1.4025735294,17,5.9411764706,"Milan","D",6,2.6578947368,2,3,1,"",NA
"2","ABATE","Dd",1.4025735294,17,5.9411764706,"Milan","D",6,2.6578947368,2,3,1,"",NA
"3","ACERBI","Dc",0.502311522,38,5.9342105263,"Sassuolo","D",6,5.9342105263,12,12,1,"",NA
"4","ACQUAH","M",0.6737012987,22,5.9318181818,"Torino","C",6,3.4342105263,5,4,1,"",NA
"5","ACQUAH","C",0.6737012987,22,5.9318181818,"Torino","C",6,3.4342105263,5,4,1,"",NA
"6","ADJAPONG","Dd",0.4489583333,16,5.96875,"Sassuolo","D",6,2.5131578947,2,3,1,"",NA
"7","ADJAPONG","E",0.4489583333,16,5.96875,"Sassuolo","D",6,2.5131578947,2,3,1,"",NA
"8","ADNAN","Ds",0.3863636364,23,6,"Udinese","D",6,3.6315789474,3,3,1,"",NA
"9","ADNAN","E",0.3863636364,23,6,"Udinese","D",6,3.6315789474,3,3,1,"",NA
"10","AINA","Dd",NA,1,NA,NA,"D",NA,0,5,4,1,"",NA
"11","AINA","Ds",NA,1,NA,NA,"D",NA,0,5,4,1,"",NA
"12","AINA","E",NA,1,NA,NA,"D",NA,0,5,4,1,"",NA
"13","ALBIOL","Dc",1.5790322581,31,6.564516129,"Napoli","D",6.5,5.3552631579,12,13,1,"",NA
"14","ALEX SANDRO","Ds",2.5815384615,26,6.6923076923,"Juventus","D",6,4.5789473684,17,17,1,"",NA
"15","ALEX SANDRO","E",2.5815384615,26,6.6923076923,"Juventus","D",6,4.5789473684,17,17,1,"",NA
"16","ALLAN","C",1.8344594595,38,6.75,"Napoli","C",6.25,6.75,18,17,1,"ME",20
"17","ALLAN","M",1.8344594595,38,6.75,"Napoli","C",6.25,6.75,18,17,1,"ME",20
"18","ANDERSEN","Dc",0.1547619048,7,5.7857142857,"Sampdoria","D",6,1.0657894737,7,6,1,"",NA
"19","ANDREOLLI","Dc",0.3577075099,23,5.6956521739,"Cagliari","D",6,3.4473684211,3,4,1,"",NA
"20","ANSALDI","Dd",1.2141666667,25,6.38,"Torino","D",6.5,4.1973684211,10,11,1,"",NA
"21","ANSALDI","Ds",1.2141666667,25,6.38,"Torino","D",6.5,4.1973684211,10,11,1,"",NA
"22","ANSALDI","E",1.2141666667,25,6.38,"Torino","D",6.5,4.1973684211,10,11,1,"",NA
"23","ANTENUCCI","Pc",4.9337121212,33,7.4393939394,"SPAL","A",6.5,6.4605263158,25,25,1,"ME",1
"24","ANTONELLI","Ds",0.1666666667,6,5.6666666667,"Milan","D",5.75,0.8947368421,4,4,1,"VE",5
"25","ANTONELLI","E",0.1666666667,6,5.6666666667,"Milan","D",5.75,0.8947368421,4,4,1,"VE",5
"26","ARDAIZ","Pc",NA,1,NA,NA,"A",NA,0,3,3,1,"",NA
"27","ARESTI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"28","ARIAUDO","Dc",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"29","ASAMOAH","E",0.2105263158,19,6.1052631579,"Juventus","D",6,3.0526315789,9,9,1,"",NA
"30","ASAMOAH","Ds",0.2105263158,19,6.1052631579,"Juventus","D",6,3.0526315789,9,9,1,"",NA
"31","AUDERO","Por",NA,30,NA,NA,"P",NA,4.72318396627123,10,9,1,"",NA
"32","BABACAR","Pc",3.4532019704,29,6.6034482759,"Sassuolo","A",6,5.0394736842,15,14,1,"ME",14
"33","BADELJ","M",1.3874643875,27,6.1851851852,"Fiorentina","C",6,4.3947368421,7,7,1,"",NA
"34","BADELJ","C",1.3874643875,27,6.1851851852,"Fiorentina","C",6,4.3947368421,7,7,1,"",NA
"35","BADU","C",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
