"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team"
"AARONS","0.122727272727273","11","5.45454545454545","Verona"
"ABATE","1.40257352941176","17","5.94117647058824","Milan"
"ACERBI","0.502311522048364","38","5.93421052631579","Sassuolo"
"ACQUAH","0.673701298701299","22","5.93181818181818","Torino"
"ADJAPONG","0.448958333333333","16","5.96875","Sassuolo"
"ADNAN","0.386363636363636","23","6","Udinese"
"AJETI","0.878571428571429","21","5.85714285714286","Crotone"
"ALBIOL","1.57903225806452","31","6.56451612903226","Napoli"
"ALEX SANDRO","2.58153846153846","26","6.69230769230769","Juventus"
"ALISSON","1.39714714714715","37","5.77027027027027","Roma"
"ALLAN","1.83445945945946","38","6.75","Napoli"
"ALLEGRI","0.580369843527738","38","6.47368421052632",
"ALVAREZ R","1.70265151515152","12","6.04166666666667","Sampdoria"
"ANDERSEN","0.154761904761905","7","5.78571428571429","Sampdoria"
"ANDRE' SILVA","1.72780797101449","24","5.97916666666667","Milan"
"ANDREOLLI","0.357707509881423","23","5.69565217391304","Cagliari"
"ANGELLA","0.429924242424242","12","5.45833333333333","Udinese"
"ANSALDI","1.21416666666667","25","6.38","Torino"
"ANTEI","0.642857142857143","8","5.5","Benevento"
"ANTENUCCI","4.93371212121212","33","7.43939393939394","SPAL"
"ANTONELLI","0.166666666666667","6","5.66666666666667","Milan"
"ANTONUCCI","2","2","6.5","Roma"
"ARMENTEROS","1.90277777777778","9","6.05555555555556","Benevento"
"ASAMOAH","0.210526315789474","19","6.10526315789474","Juventus"
"ASTORI","1015","25","6.34","Fiorentina"
"AVENATTI","0.240909090909091","11","5.59090909090909","Bologna"
"BABACAR","3.45320197044335","29","6.60344827586207","Sassuolo"
"BADELJ","1.38746438746439","27","6.18518518518519","Fiorentina"
"BAJIC","0","5","6","Udinese"
"BALIC","0.261904761904762","21","5.69047619047619","Udinese"
"BALLARDINI","505","26","6.25",
"BANI","0.232291666666667","16","5.78125","Chievo"
"BARAK","4.76114081996435","34","6.76470588235294","Udinese"
"BARBERIS","1.29605263157895","38","5.85526315789474","Crotone"
"BARELLA","2.36385918003565","34","6.69117647058824","Cagliari"
"BARONI","0.548611111111111","9","5.38888888888889",
"BARRECA","0.319444444444444","9","5.77777777777778","Torino"
"BARRETO E","1.04332010582011","28","5.80357142857143",
"BARROW","3.15151515151515","12","7.16666666666667","Atalanta"
"BARZAGLI","0.256666666666667","25","6.06","Juventus"
"BASELLI","2.07963709677419","32","6.21875","Torino"
"BASTA","0.322727272727273","11","6.04545454545455","Lazio"
"BASTIEN","1025","21","6","Chievo"
"BASTONI","0.0625","4","6125","Atalanta"
"BASTOS","2.59761904761905","21","6.54761904761905","Lazio"
"BEARZOTTI","0.3","6","5.5","Verona"
"BEHRAMI","1.0125","20","6225","Udinese"
"BELEC","2.38095238095238","15","3.66666666666667","Sampdoria"
"BELOTTI","8.8054435483871","32","6.78125","Torino"
"BENALI","1.89166666666667","10","6.35","Crotone"
"BENASSI","2.95252100840336","35","6.34285714285714","Fiorentina"
"BENATIA","1.60263157894737","20","6.55","Juventus"
"BENTANCUR","0.0947368421052632","20","5.9","Juventus"
"BERARDI","2.89784946236559","31","5.75806451612903","Sassuolo"
"BERENGUER","1.31872294372294","22","6.15909090909091","Torino"
"BERESZYNSKI","0.313978494623656","31","5.7741935483871","Sampdoria"
"BERISHA E","1.1994623655914","31","5.12903225806452","Atalanta"
"BERNARDESCHI","2.98755411255411","22","7.02272727272727","Juventus"
"BERTOLACCI","0.892518939393939","33","5.92424242424242","Genoa"
"BESSA","2.65707671957672","28","6.23214285714286","Genoa"
"BIANCHETTI","1125","2","5.75","Verona"
"BIGLIA","1.04596560846561","28","5.98214285714286","Milan"
"BILLONG","0.2","5","5.2","Benevento"
"BIONDINI","0.154761904761905","7","5.71428571428571","Sassuolo"
"BIRAGHI","1.08756684491979","34","5.89705882352941","Fiorentina"
"BIRASCHI","0.41600790513834","23","5.93478260869565","Genoa"
"BIRSA","1.57647058823529","35","6.3","Chievo"
"BIZZARRI","3.79032258064516","32","4625","Udinese"
"BOLDOR","0","1","5","Verona"
"BONAVENTURA","4.99479166666667","33","6.83333333333333","Milan"
"BONAZZOLI","0.0511363636363636","12","5875","SPAL"
"BONIFAZI","0.4","6","6","Torino"
"BONUCCI","1.41176470588235","35","6","Milan"
"BORINI","1.41748768472906","29","6.10344827586207","Milan"
"BORJA VALERO","0.997420634920635","36","6.09722222222222","Inter"
