"Id","R","Nome","Squadra","Qt. A","Qt. I","Diff."
2610,"A","CRISTIANO RONALDO","Juventus",45,49,-4
785,"A","IMMOBILE","Lazio",39,41,-2
277,"A","ICARDI","Inter",37,39,-2
647,"A","DZEKO","Roma",34,35,-1
309,"A","DYBALA","Juventus",33,36,-3
408,"A","HIGUAIN","Milan",32,33,-1
410,"A","MERTENS","Napoli",30,31,-1
704,"C","PERISIC","Inter",29,28,1
441,"A","BELOTTI","Torino",29,29,0
645,"C","MILINKOVIC-SAVIC","Lazio",28,30,-2
568,"A","QUAGLIARELLA","Sampdoria",28,28,0
2085,"C","LUIS ALBERTO","Lazio",27,27,0
409,"A","INSIGNE","Napoli",26,27,-1
2012,"A","MILIK","Napoli",26,26,0
2061,"A","SIMEONE","Fiorentina",26,26,0
467,"C","NAINGGOLAN","Inter",25,25,0
475,"A","IAGO FALQUE","Torino",25,25,0
2267,"A","ANTENUCCI","SPAL",25,25,0
608,"A","ZAPATA D","Atalanta",25,26,-1
177,"C","ILICIC","Atalanta",24,26,-2
2002,"C","CHIESA","Fiorentina",24,23,1
2200,"C","DOUGLAS COSTA","Juventus",24,24,0
26,"A","GOMEZ A","Atalanta",24,23,1
771,"C","BOATENG","Sassuolo",22,20,2
643,"A","DEFREL","Sampdoria",22,20,2
469,"C","PJANIC","Juventus",21,20,1
367,"C","BONAVENTURA","Milan",21,20,1
2378,"C","PASTORE","Roma",21,21,0
315,"A","ZAZA","Torino",21,22,-1
406,"A","CALLEJON","Napoli",21,21,0
2194,"C","CALHANOGLU","Milan",20,21,-1
90,"A","LASAGNA","Udinese",20,22,-2
2201,"A","UNDER","Roma",20,21,-1
375,"A","SUSO","Milan",20,21,-1
312,"A","MANDZUKIC","Juventus",20,18,2
299,"C","KHEDIRA","Juventus",19,18,1
453,"P","SZCZESNY","Juventus",18,18,0
322,"D","DE VRIJ","Inter",18,17,1
2504,"C","CAN ","Juventus",18,19,-1
397,"C","ALLAN","Napoli",18,17,1
345,"A","KEITA B","Inter",18,19,-1
531,"A","BERARDI","Sassuolo",18,16,2
2779,"A","KLUIVERT","Roma",18,18,0
247,"A","PAVOLETTI","Cagliari",18,17,1
662,"D","ALEX SANDRO","Juventus",17,17,0
184,"C","BERNARDESCHI","Juventus",17,16,1
697,"C","CUADRADO","Juventus",17,18,-1
376,"C","VERDI","Napoli",17,18,-1
779,"C","CRISTANTE","Roma",17,18,-1
1974,"A","SCHICK","Roma",17,17,0
2155,"A","CUTRONE","Milan",17,17,0
2214,"D","KOLAROV","Roma",16,17,-1
798,"D","SKRINIAR","Inter",16,16,0
788,"C","FREULER","Atalanta",16,16,0
2215,"C","VERETOUT","Fiorentina",16,17,-1
2306,"C","MATUIDI","Juventus",16,15,1
152,"C","ZIELINSKI","Napoli",16,14,2
1996,"C","DE PAUL","Udinese",16,15,1
1998,"A","PJACA","Fiorentina",16,16,0
2764,"A","MARTINEZ L","Inter",16,17,-1
250,"P","HANDANOVIC","Inter",15,16,-1
392,"D","KOULIBALY","Napoli",15,17,-2
2077,"C","PASALIC","Atalanta",15,14,1
557,"C","BENASSI","Fiorentina",15,12,3
265,"C","BROZOVIC","Inter",15,16,-1
237,"C","PEROTTI","Roma",15,16,-1
2692,"A","CASTILLEJO","Milan",15,16,-1
183,"A","BABACAR","Sassuolo",15,14,1
795,"A","EL SHAARAWY","Roma",15,16,-1
536,"A","POLITANO","Inter",15,15,0
2756,"A","PIATEK","Genoa",15,13,2
532,"A","FALCINELLI","Bologna",15,16,-1
487,"D","DE SILVESTRI","Torino",14,14,0
464,"D","FLORENZI","Roma",14,14,0
2310,"D","CANCELO","Juventus",14,14,0
1870,"C","BARELLA","Cagliari",14,14,0
702,"C","GIACCHERINI","Chievo",14,14,0
402,"C","HAMSIK","Napoli",14,15,-1
1987,"C","JANKTO","Sampdoria",14,15,-1
2172,"C","BARAK","Udinese",14,15,-1
383,"A","PETAGNA","SPAL",14,15,-1
123,"A","INGLESE","Parma",14,13,1
2819,"A","CAPUTO","Empoli",14,14,0
572,"P","MERET","Napoli",13,14,-1
2836,"P","OLSEN","Roma",13,14,-1
