"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"15","ANDRE' SILVA",1.72780797101449,24,5.97916666666667,"Milan","A",5.5,3.77631578947369
"20","ANTENUCCI",4.93371212121212,33,7.43939393939394,"SPAL","A",6.5,6.46052631578947
"22","ANTONUCCI",2,2,6.5,"Roma","A",6.5,0.342105263157895
"23","ARMENTEROS",1.90277777777778,9,6.05555555555556,"Benevento","A",5.5,1.43421052631579
"26","AVENATTI",0.240909090909091,11,5.59090909090909,"Bologna","A",6,1.61842105263158
"27","BABACAR",3.45320197044335,29,6.60344827586207,"Sassuolo","A",6,5.03947368421053
"29","BAJIC",0,5,6,"Udinese","A",6,0.789473684210526
"39","BARROW",3.15151515151515,12,7.16666666666667,"Atalanta","A",6.25,2.26315789473684
"49","BELOTTI",8.8054435483871,32,6.78125,"Torino","A",5.75,5.71052631578947
"54","BERARDI",2.89784946236559,31,5.75806451612903,"Sassuolo","A",5.5,4.69736842105263
"71","BONAZZOLI",0.0511363636363636,12,5.875,"SPAL","A",6,1.85526315789474
"74","BORINI",1.41748768472906,29,6.10344827586207,"Milan","A",6,4.65789473684211
"76","BORRIELLO",1.56666666666667,15,5.76666666666667,"SPAL","A",5.5,2.27631578947369
"77","BOYE'",0.15,11,6,"Torino","A",6,1.73684210526316
"78","BRIGNOLA",2.38970588235294,18,6.75,"Benevento","A",6.5,3.19736842105263
"85","BUDIMIR",6.53517316017316,22,6.52272727272727,"Crotone","A",5.5,3.77631578947368
"91","CAICEDO",2.56493506493507,22,6.27272727272727,"Lazio","A",6,3.63157894736842
"96","CALLEJON",4.38424608819346,38,7.11842105263158,"Napoli","A",6.5,7.11842105263158
"103","CAPRARI",2.48306595365419,34,6.32352941176471,"Sampdoria","A",6,5.65789473684211
"114","CERAVOLO",NA,1,5.5,"Benevento","A",5.5,0.144736842105263
"115","CERCI",2.16983695652174,24,6.1875,"Verona","A",6,3.90789473684211
"117","CETER",0.141666666666667,6,5.58333333333333,"Cagliari","A",5.5,0.881578947368421
"125","CISSE' K",0,2,6,"Benevento","A",6,0.315789473684211
"126","CODA M",4.90579710144928,24,6.33333333333333,"Benevento","A",5.5,4
"130","COP",0.5,2,5.5,"Cagliari","A",5.5,0.289473684210526
"132","CORNELIUS",2.63241106719368,23,6.28260869565217,"Atalanta","A",5.5,3.80263157894737
"144","CUTRONE",6.82374338624339,28,7.26785714285714,"Milan","A",6,5.35526315789473
"162","DEFREL",1.15952380952381,15,5.86666666666667,"Roma","A",5.5,2.31578947368421
"169","DESTRO",5.03384615384615,26,6.57692307692308,"Bologna","A",6,4.5
"174","DIABATE'",14.4045454545455,11,8.36363636363636,"Benevento","A",6,2.42105263157895
"187","DYBALA",17.4105113636364,33,8.36363636363636,"Juventus","A",6.5,7.26315789473684
"188","DZEKO",8.82599206349206,36,7.65277777777778,"Roma","A",6,7.25
"190","EDER",1.33066502463054,29,6.29310344827586,"Inter","A",6,4.80263157894737
"191","EDERA",1.16071428571429,14,6.39285714285714,"Torino","A",6,2.35526315789474
"192","EL SHAARAWY",4.32859848484848,33,6.71212121212121,"Roma","A",6,5.82894736842105
"197","FALCINELLI",1.31829637096774,32,5.890625,"Fiorentina","A",5.5,4.96052631578947
"202","FARES",0.386206896551724,30,5.4,"Verona","A",5.5,4.26315789473684
"203","FARIAS",1.90839947089947,28,5.91071428571429,"Cagliari","A",5.75,4.35526315789474
"210","FLOCCARI",3.59473684210526,20,6.4,"SPAL","A",6,3.36842105263158
"216","GALABINOV",2.68157894736842,20,6.45,"Genoa","A",6,3.39473684210526
"229","GIANNETTI",0.209821428571429,8,5.6875,"Cagliari","A",6,1.19736842105263
"234","GOMEZ A",3.92945075757576,33,6.98484848484848,"Atalanta","A",6.5,6.06578947368421
