"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"12","ALLEGRI",0.580369843527738,38,6.47368421052632,"","COACH",6.5,6.47368421052632
"31","BALLARDINI",0.505,26,6.25,"","COACH",6.5,4.27631578947368
"36","BARONI",0.548611111111111,9,5.38888888888889,"","COACH",5.5,1.27631578947368
"38","BARRETO E",1.04332010582011,28,5.80357142857143,"","COACH",6,4.27631578947368
"83","BUCCHI",0.237637362637363,14,5.39285714285714,"","COACH",5.25,1.98684210526316
"147","D'ANNA",0,3,7,"","COACH",7,0.552631578947368
"161","DE ZERBI",0.542487684729064,29,5.89655172413793,"","COACH",6,4.5
"166","DELNERI",0.793560606060606,12,5.79166666666667,"","COACH",5.5,1.82894736842105
"171","DI FRANCESCO",0.576102418207681,38,6.28947368421053,"","COACH",6.5,6.28947368421053
"179","DONADONI",0.42549786628734,38,5.98684210526316,"","COACH",6,5.98684210526316
"199","FARAGO",0.321097883597884,28,5.94642857142857,"","COACH",6,4.38157894736842
"220","GASPERINI",0.498044096728307,38,6.40789473684211,"","COACH",6.5,6.40789473684211
"221","GATTUSO",0.95606884057971,24,6.22916666666667,"","COACH",6.5,3.93421052631579
"228","GIAMPAOLO",0.939544807965861,38,6.07894736842105,"","COACH",6,6.07894736842105
"258","IACHINI",0.96195652173913,24,6.125,"","COACH",6.5,3.86842105263158
"267","INZAGHI S",0.686344238975818,38,6.55263157894737,"","COACH",6.75,6.55263157894737
"277","JURIC",0.446969696969697,12,5.58333333333333,"","COACH",5.5,1.76315789473684
"314","LOPEZ D",0.581609195402299,30,5.93333333333333,"","COACH",6,4.68421052631579
"331","MARAN",0.626050420168067,35,5.85714285714286,"","COACH",6,5.39473684210527
"346","MAZZARRI",0.460526315789474,19,6.10526315789474,"","COACH",6,3.05263157894737
"357","MIHAJLOVIC",0.62719298245614,19,5.89473684210526,"","COACH",6,2.94736842105263
"366","MONTELLA",0.989010989010989,14,5.71428571428571,"","COACH",5.75,2.10526315789474
"380","NICOLA",0.85,15,5.7,"","COACH",6,2.25
"384","ODDO",0.626082251082251,22,5.93181818181818,"","COACH",6,3.43421052631579
"404","PECCHIA",0.958748221906117,38,5.47368421052632,"","COACH",5.25,5.47368421052632
"407","PELLEGRINI",1.89285714285714,28,6.32142857142857,"","COACH",6,4.6578947368421
"422","PIOLI",0.717638691322902,38,6.15789473684211,"","COACH",6.5,6.15789473684211
"441","RASTELLI",0.785714285714286,8,5.5,"","COACH",5,1.15789473684211
"477","SARRI",0.539829302987198,38,6.52631578947368,"","COACH",7,6.52631578947368
"484","SEMPLICI",0.515825035561878,38,6.06578947368421,"","COACH",6,6.06578947368421
"499","SPALLETTI",0.868598862019915,38,6.17105263157895,"","COACH",6.5,6.17105263157895
"526","TUDOR",0.416666666666667,4,6.25,"","COACH",6.25,0.657894736842105
"559","ZENGA",0.760869565217391,23,5.97826086956522,"","COACH",6,3.61842105263158
