"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"10","ALISSON",1.39714714714715,37,5.77027027027027,"Roma","P",6,5.61842105263158
"48","BELEC",2.38095238095238,15,3.66666666666667,"Sampdoria","P",4,1.44736842105263
"57","BERISHA E",1.1994623655914,31,5.12903225806452,"Atalanta","P",5,4.18421052631579
"68","BIZZARRI",3.79032258064516,32,4.625,"Udinese","P",4.75,3.89473684210526
"79","BRIGNOLI",5.35897435897436,13,3.73076923076923,"Benevento","P",3.5,1.27631578947368
"86","BUFFON",2.00714285714286,21,5.57142857142857,"Juventus","P",6,3.07894736842105
"128","CONSIGLI",4.63363363363363,37,4.75675675675676,"Sassuolo","P",5,4.63157894736842
"131","CORDAZ",3.1822546230441,38,4.48684210526316,"Crotone","P",5,4.48684210526316
"136","CRAGNO",3.6878078817734,29,4.79310344827586,"Cagliari","P",5,3.6578947368421
"142","CROSTA",NA,1,1.5,"Cagliari","P",1.5,0.0394736842105263
"148","DA COSTA",1.5625,4,5.125,"Bologna","P",5.25,0.539473684210526
"180","DONNARUMMA G",1.57414651493599,38,4.98684210526316,"Milan","P",5,4.98684210526316
"183","DRAGOWSKI",5.33333333333333,3,2.83333333333333,"Fiorentina","P",1.5,0.223684210526316
"233","GOLLINI",1,7,5.5,"Atalanta","P",6,1.01315789473684
"235","GOMIS A",2.85384615384615,26,4.57692307692308,"SPAL","P",4.5,3.13157894736842
"248","HANDANOVIC",1.35135135135135,38,5.5,"Inter","P",5.75,5.5
"293","LAMANNA",NA,1,5.5,"Genoa","P",5.5,0.144736842105263
"332","MARCHEGIANI",NA,1,6,"SPAL","P",6,0.157894736842105
"352","MERET",4.44230769230769,13,5.73076923076923,"SPAL","P",6,1.96052631578947
"361","MILINKOVIC-SAVIC V",NA,1,5,"Torino","P",5,0.131578947368421
"363","MIRANTE",1.84280303030303,33,4.8030303030303,"Bologna","P",5,4.17105263157895
"381","NICOLAS",4.1640873015873,36,4.23611111111111,"Verona","P",4,4.01315789473684
"405","PEGOLO",2,2,5,"Sassuolo","P",5,0.263157894736842
"412","PERIN",1.38400900900901,37,5.13513513513514,"Genoa","P",5,5.00000000000001
"421","PINSOGLIO",NA,1,5,"Juventus","P",5,0.131578947368421
"430","PUGGIONI",2.90118577075099,23,4.41304347826087,"Benevento","P",4.5,2.67105263157895
"436","RAFAEL",1.55555555555556,10,5,"Cagliari","P",5,1.31578947368421
"443","REINA",1.57582582582583,37,5.2972972972973,"Napoli","P",6,5.15789473684211
"461","ROSSI F",NA,1,4.5,"Atalanta","P",4.5,0.118421052631579
"475","SANTURRO",NA,1,5.5,"Bologna","P",5.5,0.144736842105263
"483","SCUFFET",6.16666666666667,6,4.33333333333333,"Udinese","P",3.5,0.684210526315789
"486","SEPE",NA,1,6,"Napoli","P",6,0.157894736842105
"489","SILVESTRI",2,2,3,"Verona","P",3,0.157894736842105
"494","SIRIGU",2.65465465465465,37,5.39189189189189,"Torino","P",5,5.25
"495","SKORUPSKI",NA,1,6.5,"Roma","P",6.5,0.171052631578947
"497","SORRENTINO",4.0398293029872,38,4.97368421052632,"Chievo","P",5.5,4.97368421052632
"503","SPORTIELLO",2.71734234234234,37,5.13513513513514,"Fiorentina","P",5,5.00000000000001
"507","STRAKOSHA",2.39420341394026,38,5.06578947368421,"Lazio","P",5,5.06578947368421
"513","SZCZESNY",1.23345588235294,17,5.52941176470588,"Juventus","P",6,2.47368421052631
"546","VIVIANO",5.25,27,5,"Sampdoria","P",5,3.55263157894737
