"Id","R","Name","Squadra","Qt. Amantra","Qt. Imantra","Diff."
2610,"Pc","CRISTIANO RONALDO","Juventus",45,46,-1
2756,"Pc","PIATEK","Milan",37,38,-1
785,"Pc","IMMOBILE","Lazio",36,34,2
2531,"Pc","LUKAKU R","Inter",36,35,1
608,"Pc","ZAPATA D","Atalanta",35,36,-1
568,"Pc","QUAGLIARELLA","Sampdoria",33,34,-1
277,"Pc","ICARDI","Inter",31,31,0
647,"Pc","DZEKO","Roma",31,30,1
441,"Pc","BELOTTI","Torino",31,30,1
409,"A","INSIGNE","Napoli",29,27,2
408,"Pc","HIGUAIN","Juventus",28,28,0
410,"Pc","MERTENS","Napoli",28,27,1
2012,"Pc","MILIK","Napoli",28,28,0
2002,"W;A","CHIESA","Fiorentina",27,27,0
26,"T;A","GOMEZ A","Atalanta",27,27,0
2819,"Pc","CAPUTO","Sassuolo",27,26,1
383,"Pc","PETAGNA","SPAL",26,25,1
177,"A","ILICIC","Atalanta",26,26,0
247,"Pc","PAVOLETTI","Cagliari",25,26,-1
2764,"Pc","MARTINEZ L","Inter",25,26,-1
309,"A","DYBALA","Juventus",25,25,0
2475,"A","SANCHEZ A","Inter",24,24,0
123,"Pc","INGLESE","Parma",23,23,0
645,"C;T","MILINKOVIC-SAVIC","Lazio",23,23,0
1996,"T;A","DE PAUL","Udinese",22,22,0
4510,"Pc","RAFAEL LEAO","Milan",22,22,0
475,"A","IAGO FALQUE","Torino",22,22,0
4517,"A","LOZANO","Napoli",22,22,0
312,"Pc","MANDZUKIC","Juventus",21,21,0
495,"A","CORREA","Lazio",21,20,1
184,"W;A","BERNARDESCHI","Juventus",20,20,0
375,"W;A","SUSO","Milan",20,20,0
406,"W","CALLEJON","Napoli",20,19,1
2085,"T","LUIS ALBERTO","Lazio",20,19,1
2038,"Pc","PINAMONTI","Genoa",20,19,1
2201,"W;A","UNDER","Roma",19,18,1
2409,"W;A","RIBERY","Fiorentina",19,19,0
507,"Pc","MURIEL","Atalanta",19,17,2
696,"Pc","BALOTELLI","Brescia",19,19,0
474,"A","GERVINHO","Parma",19,19,0
