"Id","R","Nome","Squadra","Pg","Mv","Mf","WeightedPerf"
4,"P","SPORTIELLO","Frosinone",35,6.11,4.21,3.87763157894737
11,"D","CONTI","Milan",9,5.78,5.83,1.38078947368421
15,"D","MASIELLO A","Atalanta",23,5.83,5.67,3.43184210526316
20,"C","CIGARINI","Cagliari",23,5.87,5.72,3.46210526315789
21,"C","D'ALESSANDRO","Udinese",20,5.95,5.92,3.11578947368421
22,"C","DE ROON","Atalanta",34,6.01,6.1,5.45789473684211
26,"A","GOMEZ A","Atalanta",35,6.21,7.03,6.475
27,"C","GRASSI","Parma",6,5.83,5.83,0.920526315789474
28,"C","KURTIC","SPAL",30,6.13,6.75,5.32894736842105
40,"P","DA COSTA","Bologna",0,0,0,0
41,"P","MIRANTE","Roma",11,6.55,6.27,1.815
45,"D","FERRARI A","Sampdoria",6,5.67,5.5,0.868421052631579
48,"D","MAIETTA","Empoli",21,5.62,5.5,3.03947368421053
50,"D","MBAYE","Bologna",23,5.8,5.96,3.60736842105263
54,"D","ROSSETTINI","Chievo",21,5.55,5.43,3.00078947368421
56,"C","BRIGHI","Empoli",6,6,6.42,1.01368421052632
57,"C","CRISETIG","Frosinone",7,5.5,5.29,0.974473684210526
58,"C","DIAWARA","Napoli",11,5.82,5.64,1.63263157894737
60,"C","RIZZO","Bologna",0,0,0,0
73,"D","GAGLIOLO","Parma",34,5.87,5.68,5.0821052631579
76,"D","ROMAGNOLI S","Empoli",0,0,0,0
78,"D","SPOLLI","Genoa",7,5.43,5,0.921052631578947
81,"C","DI GAUDIO","Parma",11,5.64,5.64,1.63263157894737
83,"C","LOLLO","Empoli",0,0,0,0
90,"A","LASAGNA","Udinese",34,5.69,6.13,5.48473684210526
97,"P","SECULIN","Chievo",2,5.75,2.25,0.118421052631579
99,"D","CACCIATORE","Cagliari",14,5.86,5.89,2.17
100,"D","CESAR","Chievo",13,5.42,5.54,1.89526315789474
103,"D","FREY","Chievo",3,5.67,5.67,0.447631578947368
105,"D","GOBBI","Parma",15,5.43,5.4,2.13157894736842
106,"D","MATTIELLO","Bologna",16,5.72,5.84,2.45894736842105
111,"C","BIRSA","Cagliari",26,5.88,6.17,4.22157894736842
112,"C","CASTRO","Cagliari",12,6.12,6.58,2.07789473684211
115,"C","HETEMAJ","Chievo",28,5.7,5.75,4.23684210526316
118,"C","RADOVANOVIC","Genoa",35,5.66,5.53,5.09342105263158
119,"C","RIGONI N","Chievo",24,5.54,5.38,3.3978947368421
123,"A","INGLESE","Parma",25,6.14,7.24,4.76315789473684
124,"A","MEGGIORINI","Chievo",24,5.54,5.79,3.65684210526316
126,"A","PALOSCHI","SPAL",17,5.74,6,2.68421052631579
127,"A","PELLISSIER","Chievo",14,6.18,6.86,2.52736842105263
133,"P","SKORUPSKI","Bologna",38,6.11,4.62,4.62
134,"D","BARBA","Chievo",30,5.6,5.45,4.30263157894737
140,"D","HYSAJ","Napoli",25,5.76,5.76,3.78947368421053
141,"D","LAURINI","Fiorentina",13,5.81,5.65,1.93289473684211
142,"D","MARIO RUI","Napoli",19,5.82,5.87,2.935
144,"D","TONELLI","Sampdoria",19,5.84,5.74,2.87
147,"C","DIOUSSE'","Chievo",14,5.79,5.61,2.06684210526316
148,"C","KRUNIC","Empoli",33,6,6.5,5.64473684210526
150,"C","SAPONARA","Sampdoria",21,6.12,6.52,3.60315789473684
152,"C","ZIELINSKI","Napoli",36,6.15,6.62,6.27157894736842
154,"A","MCHEDLIDZE","Empoli",7,5.71,5.79,1.06657894736842
156,"A","PUCCIARELLI","Chievo",8,5.38,5.31,1.11789473684211
159,"P","SEPE","Parma",37,6.09,4.43,4.31342105263158
166,"D","PASQUAL","Empoli",20,5.82,6.02,3.16842105263158
169,"D","TOMOVIC","Chievo",10,5.6,5.85,1.53947368421053
170,"C","BADELJ","Lazio",22,5.82,5.73,3.31736842105263
172,"C","BORJA VALERO","Inter",23,5.91,5.85,3.54078947368421
173,"C","CAPEZZI","Empoli",10,5.65,5.3,1.39473684210526
174,"C","DIAKHATE","Parma",0,0,0,0
177,"C","ILICIC","Atalanta",31,6.39,7.55,6.15921052631579
