"Name","Owner","Price"
"BARELLA","na",1
"SUSO","na",1
"BENNACER","na",1
"MURRU","na",1
"CRISCITO","me",13
"DESILVESTRI","bryan",14
"ASAMOAH","marco",20
"LUKAKUR","fedemiglia",150
"MILINKOVICSAVIC","gatti",32
"ROMAGNOLIA","bryan",14
"STRAKOSHA","me",12
"DRAGOWSKI","marco",10
"ZIELINSKI","me",30
"KURTIC","me",8
"PELLEGRINILO","bryan",17
"PULGAR","fedemiglia",28
"DOUGLASCOSTA","marco",30
"ZAPATAD","me",111
"ROMULO","marco",12
"IZZO","me",38
"LIROLA","gatti",12
"ORSOLINI","marco",25
"SAMIR","fedemiglia",6
"RUIZ","bryan",37
"PINAMONTI","bryan",23
