"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"1","ABATE",1.4025735294,17,"Milan","D",6,2.6578947368,2,3,NA,"",NA,"E",5.94444444444444
"2","ABATE",1.4025735294,17,"Milan","D",6,2.6578947368,2,3,NA,"",NA,"Dd",5.94444444444444
"3","ACERBI",0.502311522,38,"Sassuolo","D",6,5.9342105263,12,12,NA,"",NA,"Dc",5.94186046511628
"4","ACQUAH",0.6737012987,22,"Torino","C",6,3.4342105263,5,4,NA,"",NA,"M",5.94444444444444
"5","ACQUAH",0.6737012987,22,"Torino","C",6,3.4342105263,5,4,NA,"",NA,"C",5.94444444444444
"6","ADJAPONG",0.4489583333,16,"Sassuolo","D",6,2.5131578947,2,3,NA,"",NA,"E",5.96875
"7","ADJAPONG",0.4489583333,16,"Sassuolo","D",6,2.5131578947,2,3,NA,"",NA,"Dd",5.96875
"8","ADNAN",0.3863636364,23,"Udinese","D",6,3.6315789474,3,3,NA,"",NA,"Ds",5.98
"9","ADNAN",0.3863636364,23,"Udinese","D",6,3.6315789474,3,3,NA,"",NA,"E",5.98
"10","AINA",NA,1,NA,"D",NA,0,5,4,NA,"",NA,"Dd",5.7
"11","AINA",NA,1,NA,"D",NA,0,5,4,NA,"",NA,"Ds",5.7
"12","AINA",NA,1,NA,"D",NA,0,5,4,NA,"",NA,"E",5.7
"13","ALBIOL",1.5790322581,31,"Napoli","D",6.5,5.3552631579,12,13,NA,"",NA,"Dc",6.44285714285714
"14","ALEX SANDRO",2.5815384615,26,"Juventus","D",6,4.5789473684,17,17,NA,"",NA,"Ds",6.61290322580645
"15","ALEX SANDRO",2.5815384615,26,"Juventus","D",6,4.5789473684,17,17,NA,"",NA,"E",6.61290322580645
"16","ALLAN",1.8344594595,38,"Napoli","C",6.25,6.75,18,17,NA,"ME",20,"C",6.77906976744186
"17","ALLAN",1.8344594595,38,"Napoli","C",6.25,6.75,18,17,NA,"ME",20,"M",6.77906976744186
"18","ANDERSEN",0.1547619048,7,"Sampdoria","D",6,1.0657894737,7,6,NA,"",NA,"Dc",6.04545454545455
"19","ANDREOLLI",0.3577075099,23,"Cagliari","D",6,3.4473684211,3,4,NA,"",NA,"Dc",5.69565217391304
"20","ANSALDI",1.2141666667,25,"Torino","D",6.5,4.1973684211,10,11,NA,"",NA,"E",6.34615384615385
"21","ANSALDI",1.2141666667,25,"Torino","D",6.5,4.1973684211,10,11,NA,"",NA,"Dd",6.34615384615385
"22","ANSALDI",1.2141666667,25,"Torino","D",6.5,4.1973684211,10,11,NA,"",NA,"Ds",6.34615384615385
"23","ANTENUCCI",4.9337121212,33,"SPAL","A",6.5,6.4605263158,25,25,NA,"ME",1,"Pc",7.30263157894737
