,Unnamed: 0,Name,VarianceFantasyEvaluation,PlayedMatches,Team,Role,MedianFantasyEvaluation,WeightedFantasyEvaluation,Qt..A,Qt..I,Plays2018_2019,Owner,Price,MantraRole,MeanFantasyEvaluation,Id,R,Squadra,Qt. A,Qt. I,Diff.
0,3.0,ACERBI,0.5023115220000001,38.0,Sassuolo,D,6.0,5.9342105263,12.0,12.0,,,,Dc,5.941860465116281,513,D,Lazio,14,14,0
1,6.0,ADJAPONG,0.44895833329999996,16.0,Sassuolo,D,6.0,2.5131578947,2.0,3.0,,,,E,5.96875,824,D,Verona,3,3,0
2,10.0,AINA,,1.0,,D,,0.0,5.0,4.0,,,,Dd,5.7,2865,D,Torino,8,8,0
3,14.0,ALEXSANDRO,2.5815384615,26.0,Juventus,D,6.0,4.5789473684,17.0,17.0,,,,Ds,6.612903225806449,662,D,Juventus,14,14,0
4,16.0,ALLAN,1.8344594595,38.0,Napoli,C,6.25,6.75,18.0,17.0,,ME,20.0,C,6.77906976744186,397,C,Napoli,13,14,-1
5,20.0,ANSALDI,1.2141666667,25.0,Torino,D,6.5,4.1973684211,10.0,11.0,,,,E,6.346153846153849,706,C,Torino,13,13,0
6,27.0,ASAMOAH,0.21052631579999997,19.0,Juventus,D,6.0,3.0526315789,9.0,9.0,,,,E,6.08333333333333,295,D,Inter,11,10,1
7,29.0,AUDERO,,30.0,,P,,4.7231839663,10.0,9.0,,,,Por,5.625,761,P,Sampdoria,11,11,0
8,30.0,BABACAR,3.4532019704000003,29.0,Sassuolo,A,6.0,5.0394736842,15.0,14.0,,ME,14.0,Pc,6.77941176470588,183,A,Sassuolo,14,14,0
9,31.0,BADELJ,1.3874643875,27.0,Fiorentina,C,6.0,4.3947368420999995,7.0,7.0,,,,M,6.17741935483871,170,C,Fiorentina,6,6,0
10,35.0,BALIC,0.2619047619,21.0,Udinese,C,6.0,3.1447368421,2.0,3.0,,,,C,5.69047619047619,813,C,Udinese,5,5,0
11,36.0,BANI,0.2322916667,16.0,Chievo,D,5.75,2.4342105263,6.0,6.0,,,,Dc,5.8,2285,D,Bologna,5,5,0
12,37.0,BARAK,4.76114082,34.0,Udinese,C,6.0,6.0526315789,14.0,15.0,,,,T,6.67567567567568,2172,C,Udinese,11,11,0
13,40.0,BARELLA,2.36385918,34.0,Cagliari,C,6.0,5.9868421053,14.0,14.0,,,,C,6.73076923076923,1870,C,Inter,15,15,0
