,Unnamed: 0,Unnamed: 0.1,Name,VarianceFantasyEvaluation,PlayedMatches,Team,Role,MedianFantasyEvaluation,WeightedFantasyEvaluation,Qt..A,Qt..I,Plays2018_2019,Owner,Price,MantraRole,MeanFantasyEvaluation,Id,R,Squadra,Qt. A,Qt. I,Diff.,ComputedPrices
0,0,3.0,ACERBI,0.5023115220000001,38.0,Sassuolo,D,6.0,5.9342105263,12.0,12.0,,,,Dc,5.941860465116282,513,D,Lazio,14,14,0,-1.8208971720573017
1,1,6.0,ADJAPONG,0.4489583333,16.0,Sassuolo,D,6.0,2.5131578947,2.0,3.0,,,,E,5.96875,824,D,Verona,3,3,0,-0.6554010468621707
2,2,10.0,AINA,,1.0,,D,,0.0,5.0,4.0,,,,Dd,5.7,2865,D,Torino,8,8,0,-12.304062319759474
3,3,14.0,ALEXSANDRO,2.5815384615,26.0,Juventus,D,6.0,4.5789473684,17.0,17.0,,,,Ds,6.612903225806449,662,D,Juventus,14,14,0,27.264683549466994
4,4,16.0,ALLAN,1.8344594595,38.0,Napoli,C,6.25,6.75,18.0,17.0,,ME,20.0,C,6.77906976744186,397,C,Napoli,13,14,-1,30.950537101941507
5,5,20.0,ANSALDI,1.2141666667,25.0,Torino,D,6.5,4.1973684211,10.0,11.0,,,,E,6.3461538461538485,706,C,Torino,13,13,0,12.186291793184964
6,6,27.0,ASAMOAH,0.2105263158,19.0,Juventus,D,6.0,3.0526315789,9.0,9.0,,,,E,6.08333333333333,295,D,Inter,11,10,1,4.311082441582291
7,7,29.0,AUDERO,,30.0,,P,,4.7231839663,10.0,9.0,,,,Por,5.625,761,P,Sampdoria,11,11,0,22.37862125227997
8,8,30.0,BABACAR,3.4532019704000003,29.0,Sassuolo,A,6.0,5.0394736842,15.0,14.0,,ME,14.0,Pc,6.77941176470588,183,A,Sassuolo,14,14,0,27.872185411086082
9,9,31.0,BADELJ,1.3874643875,27.0,Fiorentina,C,6.0,4.3947368421,7.0,7.0,,,,M,6.17741935483871,170,C,Fiorentina,6,6,0,4.872688316404752
10,10,35.0,BALIC,0.2619047619,21.0,Udinese,C,6.0,3.1447368421,2.0,3.0,,,,C,5.69047619047619,813,C,Udinese,5,5,0,-16.233306030801792
11,11,36.0,BANI,0.2322916667,16.0,Chievo,D,5.75,2.4342105263,6.0,6.0,,,,Dc,5.8,2285,D,Bologna,5,5,0,-7.969676729844211
12,12,37.0,BARAK,4.76114082,34.0,Udinese,C,6.0,6.0526315789,14.0,15.0,,,,T,6.67567567567568,2172,C,Udinese,11,11,0,26.469038487604415
13,13,40.0,BARELLA,2.36385918,34.0,Cagliari,C,6.0,5.9868421053,14.0,14.0,,,,C,6.73076923076923,1870,C,Inter,15,15,0,28.857005600551282
14,14,42.0,BARILLA,,1.0,,C,,0.0,5.0,3.0,,,,C,6.6,2802,C,Parma,8,8,0,23.188962906046708
15,15,43.0,BARRETO,,10.0,,C,,1.5935300604,5.0,5.0,,,,C,6.375,494,C,Sampdoria,5,5,0,13.436595328737347
16,16,45.0,BARROW,3.1515151515,12.0,Atalanta,A,6.25,2.2631578947,10.0,11.0,,,,Pc,6.78125,2719,A,Atalanta,9,9,0,27.951861616783173
17,17,47.0,BASELLI,2.0796370968,32.0,Torino,C,6.0,5.2368421053,10.0,10.0,,,,C,6.16666666666667,556,C,Torino,10,10,0,4.406625349747311
18,18,50.0,BASTONI,0.0625,4.0,Atalanta,D,6.0,0.6447368421,1.0,1.0,,,,Dc,6.125,2120,D,Inter,4,4,0,6.117076437380452
19,19,51.0,BASTOS,2.5976190476,21.0,Lazio,D,6.0,3.6184210526,8.0,8.0,,,,Dc,6.52272727272727,2062,D,Lazio,6,6,0,23.356110033634273
20,20,56.0,BELOTTI,8.8054435484,32.0,Torino,A,5.75,5.7105263158,29.0,29.0,,,,Pc,6.851351351351348,441,A,Torino,31,30,1,30.99032448809189
21,21,57.0,BENASSI,2.9525210084,35.0,Fiorentina,C,5.5,5.842105263200001,15.0,12.0,,,,C,6.58974358974359,557,C,Fiorentina,15,15,0,22.74441053785031
22,22,59.0,BENNACER,,21.0,,C,,3.3717878602,6.0,6.0,,,,C,6.1,2818,C,Milan,10,10,0,1.5170349564703152
23,23,60.0,BENTANCUR,0.0947368421,20.0,Juventus,C,6.0,3.1052631579,7.0,8.0,,,,C,5.8695652173913,2166,C,Juventus,8,8,0,-8.47089705507375
24,24,61.0,BERARDI,2.8978494624,31.0,Sassuolo,A,5.5,4.6973684211,18.0,16.0,,VE,14.0,A,6.0,531,A,Sassuolo,18,18,0,-5.910525804429939
25,25,62.0,BERENGUER,1.3187229437,22.0,Torino,C,6.0,3.5657894737,5.0,5.0,,,,W,6.1153846153846105,2205,C,Torino,8,8,0,2.1838635087647784
26,26,63.0,BERESZYNSKI,0.3139784946,31.0,Sampdoria,D,5.5,4.7105263158,7.0,7.0,,,,Dd,5.857142857142861,2104,D,Sampdoria,6,6,0,-5.492884964178153
27,27,65.0,BERISHAE,1.1994623656,31.0,Atalanta,P,5.0,4.1842105263,11.0,12.0,,,,Por,4.75,316,P,SPAL,8,8,0,-15.547252659478719
28,28,66.0,BERNARDESCHI,2.9875541126,22.0,Juventus,C,6.0,4.0657894737,17.0,16.0,,BRYAN,12.0,W,7.173076923076921,184,C,Juventus,19,19,0,48.02832647902264
29,29,69.0,BESSA,2.6570767196,28.0,Genoa,C,6.0,4.5921052632,6.0,7.0,,,,C,6.171875,264,C,Verona,9,9,0,4.632374599221937
30,30,72.0,BIGLIA,1.0459656085,28.0,Milan,C,6.0,4.4078947368,8.0,8.0,,,,M,5.9375,331,C,Milan,8,8,0,-5.526341627141997
31,31,74.0,BIRAGHI,1.0875668449,34.0,Fiorentina,D,6.0,5.2763157895,7.0,6.0,,GATTI,2.0,E,5.94736842105263,252,D,Fiorentina,10,10,0,-1.5821611236533313
32,32,76.0,BIRASCHI,0.4160079051,23.0,Genoa,D,6.0,3.5921052632,6.0,6.0,,,,Dd,5.87037037037037,2083,D,Genoa,8,8,0,-4.919553536940865
33,33,78.0,BIRSA,1.5764705882,35.0,Chievo,C,6.0,5.8026315789,12.0,12.0,,,,T,6.35897435897436,111,C,Cagliari,7,7,0,12.741982253430471
34,34,79.0,BOATENG,,38.0,,C,,6.5570139553,22.0,20.0,,ME,25.0,A,8.5,771,A,Fiorentina,16,15,1,102.44911394345202
35,35,81.0,BOGA,,31.0,,C,,4.4001562034,8.0,8.0,,,,A,5.83333333333333,2832,A,Sassuolo,12,12,0,-13.134501787622199
36,36,83.0,BONAVENTURA,4.9947916667,33.0,Milan,C,6.0,5.9342105263,21.0,20.0,,VE,23.0,W,6.93243243243243,367,C,Milan,16,16,0,37.597866353602804
37,37,86.0,BONIFAZI,0.4,6.0,Torino,D,6.25,0.9473684211,2.0,3.0,,,,Dc,6.0,2192,D,Torino,9,8,1,0.6990944499863538
38,38,87.0,BONUCCI,1.4117647059,35.0,Milan,D,6.0,5.526315789500001,12.0,12.0,,VE,23.0,Dc,5.97435897435897,286,D,Juventus,11,11,0,-0.4122864705049317
39,39,88.0,BORINI,1.4174876847,29.0,Milan,C,6.0,4.6578947368,6.0,6.0,,,,W,6.15,2187,C,Milan,5,5,0,3.684227751427985
40,40,89.0,BORJAVALERO,0.9974206349,36.0,Inter,C,6.0,5.776315789500001,5.0,6.0,,ME,6.0,C,6.0945945945945885,172,C,Inter,3,3,0,1.2827438435016738
41,41,90.0,BOURABIA,,10.0,,C,,1.5935300604,6.0,5.0,,,,C,6.0,2825,C,Sassuolo,6,6,0,-2.817350633444948
42,42,91.0,BRADARIC,,30.0,,C,,4.7231839663,9.0,9.0,,,,C,5.875,2854,C,Cagliari,4,4,0,-8.235332620839046
43,43,93.0,BREMER,,1.0,,D,,0.0,3.0,4.0,,VE,3.0,Dc,6.0,2788,D,Torino,4,4,0,0.6990944499863538
44,44,97.0,BRIGNOLA,2.3897058824,18.0,Benevento,A,6.5,3.1973684211,8.0,9.0,,,,A,6.71052631578947,2317,A,Sassuolo,3,3,0,24.886424439704772
45,45,98.0,BROZOVIC,3.1478494624,31.0,Inter,C,6.0,5.5,15.0,16.0,,,,T,6.70833333333333,265,C,Inter,12,11,1,27.88454729512148
46,46,100.0,BRUNOALVES,,10.0,,D,,1.5935300604,6.0,5.0,,,,Dc,6.3,1864,D,Parma,9,9,0,13.702251219732181
47,47,101.0,CACCIATORE,1.0771780303,33.0,Chievo,D,6.0,5.2368421053,7.0,7.0,,,,Ds,6.01428571428571,99,D,Cagliari,7,7,0,1.3182923914026277
48,48,106.0,CAICEDO,2.5649350649,22.0,Lazio,A,6.0,3.6315789474,5.0,6.0,,,,Pc,6.41666666666667,2284,A,Lazio,14,14,0,12.149414153550516
49,49,107.0,CALABRIA,1.7654761905,21.0,Milan,D,6.0,3.4605263158,7.0,6.0,,ME,9.0,E,6.32,357,D,Milan,9,9,0,14.569128337715258
50,50,109.0,CALDARA,2.9125905797,24.0,Atalanta,D,6.0,4.0394736842,11.0,12.0,,,,Dc,6.39583333333333,1847,D,Milan,4,4,0,17.856037410067536
51,51,110.0,CALHANOGLU,3.7198924731,31.0,Milan,C,6.5,5.592105263200001,20.0,21.0,,,,T,6.73529411764706,2194,C,Milan,13,13,0,29.053131645343907
52,52,112.0,CALLEJON,4.3842460882,38.0,Napoli,A,6.5,7.1184210526,21.0,21.0,,ME,15.0,W,7.08333333333333,406,C,Napoli,19,18,1,44.13849325730377
53,53,115.0,CAN,,33.0,,C,,6.4452883495,18.0,19.0,,,,M,6.2,2504,C,Juventus,14,14,0,5.851420546385617
54,54,119.0,CANDREVA,0.835515873,36.0,Inter,C,6.0,5.9342105263,13.0,13.0,,,,W,6.35897435897436,332,C,Inter,9,7,2,12.741982253430471
55,55,120.0,CAPEZZI,0.0666666667,6.0,Sampdoria,C,6.0,0.9736842105,4.0,4.0,,,,C,6.0,173,C,Sampdoria,3,3,0,-2.817350633444948
56,56,122.0,CAPRARI,2.4830659537,34.0,Sampdoria,A,6.0,5.657894736799999,9.0,10.0,,,,T,6.428571428571429,1958,A,Sampdoria,13,14,-1,12.665412438064124
57,57,126.0,CAPUTO,,36.0,,A,,5.774257147799998,14.0,14.0,,,,Pc,7.2,2819,A,Sassuolo,27,26,1,46.10210127455341
58,58,127.0,CASSATA,2.2805555556,10.0,Sassuolo,C,6.0,1.6184210525999998,2.0,2.0,,,,C,6.125,2213,C,Genoa,2,2,0,2.6006313539491503
59,59,128.0,CASTAGNE,0.4861842105,20.0,Atalanta,D,6.0,3.1710526316000003,7.0,6.0,,,,E,6.10416666666667,2197,D,Atalanta,14,14,0,5.214079439481564
60,60,130.0,CASTILLEJO,,38.0,,A,,6.0697261987,15.0,16.0,,,,A,5.83333333333333,2692,C,Milan,10,10,0,-10.041326616637207
61,61,132.0,CASTRO,3.5308333333,25.0,Chievo,C,6.0,4.2894736842,11.0,12.0,,,,T,6.43103448275862,112,C,Cagliari,13,13,0,15.865345874810538
62,62,134.0,CATALDI,0.9396551724,29.0,Benevento,C,5.5,4.3947368421,3.0,4.0,,,,M,5.76666666666667,333,C,Lazio,5,5,0,-12.93091700991378
63,63,136.0,CECCHERINI,1.0671921922,37.0,Crotone,D,6.0,5.75,5.0,6.0,,BRYAN,11.0,Dd,5.9054054054054115,1891,D,Fiorentina,5,5,0,-3.401000026960268
64,64,138.0,CEPPITELLI,1.9294871795,27.0,Cagliari,D,6.0,4.4605263158,7.0,8.0,,,,Dc,6.25,1866,D,Cagliari,7,7,0,11.535058424774551
65,65,139.0,CERAVOLO,,1.0,Benevento,A,5.5,0.1447368421,9.0,10.0,,,,Pc,5.5,2246,A,Parma,3,3,0,-27.58245375400633
66,66,140.0,CERRI,,21.0,,A,,3.9845116956,6.0,7.0,,,,Pc,5.25,306,A,Cagliari,5,5,0,-38.41841772879453
67,67,144.0,CHIELLINI,0.2446153846,26.0,Juventus,D,6.0,4.2631578947,13.0,12.0,,,,Dc,6.2833333333333306,288,D,Juventus,15,14,1,12.979853621412856
68,68,145.0,CHIESA,2.6196428571,36.0,Fiorentina,C,6.5,6.5131578947,24.0,23.0,,,,W,7.0125,2002,C,Fiorentina,26,26,0,41.068303464447254
69,69,147.0,CHIRICHES,0.15476190480000002,7.0,Napoli,D,5.5,1.0657894737,2.0,3.0,,,,Dc,5.78571428571429,640,D,Napoli,4,4,0,-8.588874671260484
70,70,149.0,CICIRETTI,2.384469697,12.0,Benevento,C,6.0,2.0657894737,11.0,12.0,,,,T,6.54166666666667,2243,C,Napoli,1,1,0,20.660571311929605
71,71,151.0,CIGARINI,2.1984615385,26.0,Cagliari,C,6.0,4.0789473684,6.0,7.0,,BRYAN,6.0,M,5.93103448275862,20,C,Cagliari,6,6,0,-5.806582074765855
72,72,153.0,CIONEK,0.9452380952,15.0,SPAL,D,6.5,2.5131578947,9.0,9.0,,,,Dc,6.225,780,D,SPAL,7,7,0,10.451462027295715
73,73,154.0,COLLEY,,21.0,,D,,3.9845116956,6.0,7.0,,,,Dc,5.75,2784,D,Sampdoria,7,7,0,-10.136869524801842
74,74,155.0,CONSIGLI,4.633633633600001,37.0,Sassuolo,P,5.0,4.6315789474,9.0,9.0,,,,Por,4.726190476190482,509,P,Sassuolo,10,10,0,-16.57924922850593
75,75,156.0,CONTI,0.125,2.0,Milan,D,6.25,0.3289473684,6.0,7.0,,,,E,6.25,11,D,Milan,5,5,0,11.535058424774551
76,76,158.0,CORREA,,35.0,,C,,5.4248756564,12.0,12.0,,,,T,6.125,495,A,Lazio,21,20,1,-0.4925438170358411
77,77,162.0,CRAGNO,3.6878078818,29.0,Cagliari,P,5.0,3.6578947368,8.0,8.0,,,,Por,4.77941176470588,2178,P,Cagliari,11,11,0,-14.272433368327286
78,78,163.0,CRISCITO,,30.0,,D,,4.7231839663,9.0,9.0,,,,Dc,6.625,2759,D,Genoa,14,13,1,27.789004386956844
79,79,167.0,CRISTANTE,4.3117063492000005,36.0,Atalanta,C,6.0,6.4868421053,17.0,18.0,,,,C,6.76829268292683,779,C,Roma,10,10,0,30.48341670370907
80,80,169.0,CRISTIANORONALDO,,33.0,,A,,8.576232595499999,45.0,49.0,,BRYAN,60.0,Pc,7.9,2610,A,Juventus,45,46,-1,76.44280040396036
81,81,170.0,CUADRADO,2.3119047619,21.0,Juventus,C,7.0,3.9736842105,17.0,18.0,,,,W,6.96,697,C,Juventus,9,9,0,38.79275102974172
82,82,172.0,DALESSANDRO,1.2625,16.0,Benevento,C,6.25,2.7105263158,3.0,3.0,,,,W,6.361111111111112,21,C,SPAL,7,7,0,12.834597330138024
83,83,173.0,DAMBROSIO,1.4699197861000002,34.0,Inter,D,6.0,5.5394736842,7.0,8.0,,ME,6.0,Ds,6.1153846153846105,253,D,Inter,9,9,0,5.70030859219608
84,84,176.0,DACOSTA,1.5625,4.0,Bologna,P,5.25,0.5394736842,1.0,1.0,,,,Por,5.125,40,P,Bologna,1,1,0,0.7066933027035763
85,85,178.0,DABO,2.1777777778,10.0,Fiorentina,C,6.0,1.6315789474000002,7.0,7.0,,,,C,6.192307692307692,2659,C,Fiorentina,3,3,0,5.51800627023825
86,86,180.0,DALBERT,0.1923076923,13.0,Inter,D,6.0,1.9605263158,3.0,3.0,,,,Ds,5.6875,2289,D,Inter,3,3,0,-12.845860518498892
87,87,183.0,DANILO,0.7134576613,32.0,Udinese,D,6.0,4.9342105263,9.0,8.0,,,,Dc,5.878378378378379,4237,D,Juventus,11,11,0,-4.572455591802473
88,88,184.0,DEMAIO,1.3784615385,26.0,Bologna,D,5.75,4.1315789474,6.0,7.0,,,,Dc,6.01724137931035,224,D,Udinese,6,6,0,1.4464023103167827
89,89,185.0,DEPAUL,2.5664414414,37.0,Udinese,C,6.0,6.276315789500001,16.0,15.0,,,,T,6.78571428571429,1996,C,Udinese,22,22,0,31.238536144460998
90,90,187.0,DEROON,1.4048573975,34.0,Atalanta,C,6.0,5.5131578947,8.0,8.0,,,,M,6.1153846153846105,22,C,Atalanta,11,11,0,2.1838635087647784
91,91,191.0,DESCIGLIO,1.196969697,12.0,Juventus,D,6.5,2.1052631579,6.0,7.0,,ME,3.0,E,6.66666666666667,358,D,Juventus,5,5,0,29.594998382755005
92,92,194.0,DESILVESTRI,2.2785714286000003,35.0,Torino,D,6.0,6.0131578947,14.0,14.0,,ME,10.0,E,6.46153846153846,487,D,Torino,10,10,0,20.70395101882603
93,93,196.0,DEVRIJ,1.9777777778,36.0,Lazio,D,6.5,6.4210526315999985,18.0,17.0,,GATTI,18.0,Dc,6.7875,322,D,Inter,13,13,0,34.832380970569154
94,94,197.0,DEFREL,1.1595238095,15.0,Roma,A,5.5,2.3157894737,22.0,20.0,,,,Pc,6.65789473684211,643,A,Roma,14,14,0,22.605168866065508
95,95,198.0,DEIOLA,0.1442307692,13.0,Cagliari,C,6.0,2.0394736842,3.0,3.0,,,,C,5.96875,1871,C,Cagliari,2,2,0,-4.171846130293472
96,96,200.0,DELLORCO,0.3169642857,8.0,Sassuolo,D,6.0,1.2763157895,3.0,4.0,,,,Ds,6.2,517,D,Lecce,4,4,0,9.367865629816919
97,97,202.0,DEPAOLI,0.2032163743,19.0,Chievo,C,6.0,2.8947368421,5.0,4.0,,,,E,5.80434782608696,2141,D,Sampdoria,6,6,0,-7.7812251824564465
98,98,205.0,DESSENA,0.0955882353,17.0,Cagliari,C,6.0,2.5921052632,3.0,3.0,,,,E,5.8,1872,C,Brescia,4,4,0,-11.486121813275513
99,99,207.0,DESTRO,5.0338461538,26.0,Bologna,A,6.0,4.5,12.0,13.0,,,,Pc,6.45,472,A,Bologna,18,19,-1,13.594209350188821
100,100,208.0,DIFRANCESCOF,1.0851449275,24.0,Bologna,A,6.0,3.9736842105,13.0,14.0,,,,W,6.5,1857,C,SPAL,12,11,1,18.854577316131444
101,101,210.0,DIGAUDIO,,1.0,,C,,0.0,4.0,4.0,,,,W,5.7,81,C,Verona,4,4,0,-15.820507403190776
102,102,212.0,DILORENZO,,10.0,,D,,1.5935300604,6.0,5.0,,,,Dd,6.2,2816,D,Napoli,11,11,0,9.367865629816919
103,103,214.0,DIAWARA,1.033496732,18.0,Napoli,C,6.0,2.9868421053,9.0,9.0,,,,C,6.21428571428571,58,C,Roma,8,8,0,6.47061848780189
104,104,216.0,DIJKS,,10.0,,D,,1.5935300604,7.0,5.0,,,,Ds,6.125,2746,D,Bologna,8,8,0,6.117076437380452
105,105,218.0,DIMARCO,,10.0,,D,,1.5935300604,4.0,5.0,,,,Ds,7.66666666666667,254,D,Inter,3,3,0,72.9388542819078
106,106,220.0,DJIMSITI,0.6333333333,30.0,Benevento,D,5.5,4.3947368421,3.0,2.0,,,,Dc,5.59090909090909,787,D,Atalanta,8,8,0,-17.032482963303465
107,107,223.0,DJURICIC,0.6,16.0,Benevento,C,6.0,2.5263157895,4.0,5.0,,,,T,5.97058823529412,1995,C,Sassuolo,5,5,0,-4.09216992459638
108,108,224.0,DONNARUMMAG,1.5741465149,38.0,Milan,P,5.0,4.9868421053,11.0,12.0,,,,Por,4.91666666666667,350,P,Milan,15,15,0,-8.32327667628646
109,109,227.0,DOUGLASCOSTA,2.247311828,31.0,Juventus,C,6.5,5.8947368421,24.0,24.0,,GATTI,20.0,W,7.071428571428571,2200,C,Juventus,14,14,0,43.62249497279017
110,110,228.0,DRAGOWSKI,5.3333333333,3.0,Fiorentina,P,1.5,0.2236842105,2.0,1.0,,,,Por,3.9,1917,P,Fiorentina,10,11,-1,-52.38953017375859
111,111,229.0,DUNCAN,0.5815384615,26.0,Sassuolo,C,5.75,3.9736842105,8.0,8.0,,,,C,5.887096774193551,526,C,Sassuolo,10,10,0,-7.7110117833491945
112,112,231.0,DURMISI,,10.0,,D,,1.5935300604,4.0,5.0,,,,Ds,6.0,2772,D,Lazio,2,2,0,0.6990944499863538
113,113,233.0,DYBALA,17.410511363599998,33.0,Juventus,A,6.5,7.2631578947,33.0,36.0,,VE,30.0,A,8.054054054054049,309,A,Juventus,26,26,0,83.12009712355935
114,114,234.0,DZEKO,8.825992063500001,36.0,Roma,A,6.0,7.25,34.0,35.0,,GATTI,21.0,Pc,7.51219512195122,647,A,Roma,31,30,1,59.63384165282551
115,115,235.0,DZEMAILI,1.4357142857,15.0,Bologna,C,6.0,2.4078947368,11.0,13.0,,,,T,5.875,713,C,Bologna,8,8,0,-8.235332620839046
116,116,237.0,EDERA,1.1607142857,14.0,Torino,A,6.0,2.3552631579,3.0,4.0,,,,A,6.36666666666667,1839,A,Torino,4,4,0,9.982221358592884
117,117,238.0,EKDAL,,31.0,,C,,4.4001562034,8.0,8.0,,,,M,6.375,2391,C,Sampdoria,7,7,0,13.436595328737347
118,118,243.0,EYSSERIC,1.0476190476,21.0,Fiorentina,C,6.0,3.3815789474,9.0,8.0,,,,T,6.16,2290,C,Fiorentina,4,4,0,4.117666310419504
119,119,245.0,FALCINELLI,1.318296371,32.0,Fiorentina,A,5.5,4.9605263158,15.0,16.0,,,,Pc,5.90277777777778,532,A,Bologna,6,6,0,-10.124511794625239
120,120,246.0,FARAGO,3.7261904762,7.0,Cagliari,D,7.5,1.4078947368,4.0,4.0,,,,E,7.05,2116,C,Cagliari,4,4,0,42.69369806066547
121,121,248.0,FARES,0.3862068966,30.0,Verona,C,5.5,4.2631578947,4.0,5.0,,BRYAN,2.0,E,5.371428571428571,633,C,SPAL,7,7,0,-30.062060055769575
122,122,249.0,FARIAS,1.9083994709,28.0,Cagliari,A,5.75,4.3552631579000005,11.0,12.0,,,,A,5.8484848484848495,1879,A,Lecce,10,11,-1,-12.477776698240923
123,123,250.0,FAVILLI,,37.0,,A,,4.9909204044,10.0,10.0,,,,Pc,7.0,819,A,Genoa,5,5,0,37.43333009472285
124,124,251.0,FAZIO,1.2230392156999998,34.0,Roma,D,6.25,5.6710526315999985,11.0,11.0,,ME,12.0,Dc,6.34210526315789,2016,D,Roma,8,9,-1,15.52725567864369
125,125,252.0,FELIPE,1.2876436782,30.0,SPAL,D,6.0,4.6447368421,6.0,6.0,,,,Dc,5.9,708,D,SPAL,6,6,0,-3.6352911399289094
126,126,254.0,FERRARIA,1.2641666667,25.0,Verona,D,5.5,3.6710526316,3.0,4.0,,,,Dd,5.58,45,D,Sampdoria,4,4,0,-17.505325027657815
127,127,256.0,FERRARIG,1.7704022989,30.0,Sampdoria,D,5.75,4.6447368421,10.0,8.0,,,,Dc,6.1,1895,D,Sassuolo,9,9,0,5.033480039901617
128,128,257.0,FLOCCARI,3.5947368421,20.0,SPAL,A,6.0,3.3684210526,4.0,5.0,,,,Pc,6.4,533,A,SPAL,7,7,0,11.42701655523119
129,129,258.0,FLORENZI,1.5393145161,32.0,Roma,D,6.0,5.1842105263,14.0,14.0,,BRYAN,10.0,Dd,6.27777777777778,464,D,Roma,10,10,0,12.73905442197335
130,130,260.0,FOFANA,2.4707977208000003,27.0,Udinese,C,5.5,4.25,10.0,9.0,,,,M,6.125,1986,C,Udinese,11,11,0,2.6006313539491503
131,131,262.0,FREULER,2.4966386555,35.0,Atalanta,C,6.0,6.1315789474,16.0,16.0,,ME,6.0,C,6.576923076923079,788,C,Atalanta,13,13,0,22.188720077604838
132,132,263.0,GAGLIARDINI,0.2540229885,30.0,Inter,C,6.0,4.5526315789,6.0,7.0,,,,M,5.765625,801,C,Inter,8,8,0,-12.976066859808881
133,133,265.0,GAGLIOLO,,21.0,,D,,3.3717878602,7.0,6.0,,,,Ds,6.3,73,D,Parma,7,7,0,13.702251219732181
134,134,271.0,GERVINHO,,37.0,,A,,4.9909204044,11.0,10.0,,,,A,8.125,474,A,Parma,19,19,0,86.19516798126973
135,135,272.0,GHIGLIONE,,1.0,,D,,0.0,2.0,2.0,,,,Dd,6.5,244,D,Genoa,4,3,1,22.371022399562747
136,136,274.0,GHOULAM,4.1045454545,11.0,Napoli,D,6.5,2.1315789474,8.0,9.0,,,,Ds,7.36363636363636,390,D,Napoli,12,12,0,59.80435249428544
137,137,280.0,GOLDANIGA,1.641025641,13.0,Sassuolo,D,6.0,2.1052631579,5.0,6.0,,,,Dc,6.06666666666667,418,D,Sassuolo,4,4,0,3.58868484326335
138,138,281.0,GOLLINI,1.0,7.0,Atalanta,P,6.0,1.0131578947,1.0,1.0,,,,Por,4.95,610,P,Atalanta,14,14,0,-6.878481479648153
139,139,282.0,GOMEZA,3.9294507576,33.0,Atalanta,A,6.5,6.0657894737,24.0,23.0,,BRYAN,20.0,A,7.22972972972973,26,C,Atalanta,26,26,0,50.483877566864564
140,140,285.0,GOSENS,0.8642857143000001,21.0,Atalanta,D,6.0,3.4342105263,7.0,7.0,,,,Ds,6.16,2160,D,Atalanta,16,15,1,7.634111393850806
141,141,287.0,GRASSI,1.6058201058,28.0,SPAL,C,6.0,4.7368421053,9.0,9.0,,,,C,6.38333333333333,27,C,Parma,8,8,0,13.797794127896816
142,142,288.0,GUNTER,,1.0,,D,,0.0,3.0,3.0,,,,Dc,5.66666666666667,2758,D,Verona,5,5,0,-13.748857516397779
143,143,293.0,HANDANOVIC,1.3513513514,38.0,Inter,P,5.75,5.5,15.0,16.0,,ME,28.0,Por,5.441860465116282,250,P,Inter,18,18,0,14.440647642842215
144,144,294.0,HATEBOER,0.125,33.0,Atalanta,D,6.0,5.2105263158,9.0,8.0,,,,E,6.09722222222222,2130,D,Atalanta,16,16,0,4.913080440181653
145,145,299.0,HIGUAIN,8.3962184874,35.0,Juventus,A,6.5,6.9342105263,32.0,33.0,,BRYAN,23.0,Pc,7.61538461538461,408,A,Juventus,29,29,0,64.10647218650892
146,146,300.0,HILJEMARK,0.8285714286,15.0,Genoa,C,6.0,2.4078947368,6.0,6.0,,,,C,5.94736842105263,433,C,Genoa,5,5,0,-5.098606207084633
